[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
U (all spectra): 403 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 4900
Query NIST Bibliographic Databases for
U (new window)
U Energy Levels
U Line Wavelengths and Classification
U Transition Probabilities
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |          Ritz    |  Rel. |    Aki    | Acc. |   Ei           Ek   | Lower level | Upper level |  gi   gk  |Type|    TP  |   Line  |
          |          Wavelength |       Wavelength |  Int. |    s^-1   |      | (cm-1)       (cm-1) |-------------|-------------|           |    |   Ref. |   Ref.  |
          |           Air (nm)  |        Air (nm)  |  (?)  |           |      |                     | J           | J           |           |    |        |         |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
U II      |           314.924   |                  |   680 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           315.311   |                  |   530 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U II      |           317.621   |                  |   340 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           317.733   |                  |   340 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           320.605   |                  |   340 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           322.950   |                  |   730 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           323.216   |                  |   680 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U II      |           324.422   |                  |   440 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           326.579   |                  |   340 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           327.012   |                  |   440 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           328.821   |                  |   440 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           329.133   |                  |   730 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U II      |           330.589   |                  |  1100 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           333.779   |                  |   390 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           334.166   |                  |   440 |           |      |                     |             |             |           |    |        |  L3475  |
U I       |           335.784   |                  |   390 |           |      |                     |             |             |           |    |        |  L3475  |
U I       |           339.038   |                  |   730 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U II      |           339.477   |                  |   340 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           342.456   |                  |   580 |           |      |                     |             |             |           |    |        |  L3475  |
U I       |           343.549   |                  |   580 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           345.355   |                  |   360 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           345.423   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U II      |           345.705   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           345.771   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
U I       |           345.992   |                  |   360 |           |      |                     |             |             |           |    |        |  L3475  |
U I       |           346.222   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
U I       |           346.355   |                  |   460 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U I       |           346.630   |                  |   630 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           347.252   |                  |   390 |           |      |                     |             |             |           |    |        |  L3475  |
U I       |           347.343   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
U I       |           348.036   |                  |   360 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           348.249   |                  |   680 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U I       |           348.937   |                  |  1600 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           349.333   |                  |   390 |           |      |                     |             |             |           |    |        |  L3475  |
U I       |           349.400   |                  |   340 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           349.484   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           349.641   |                  |   530 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U I       |           350.008   |                  |   630 |           |      |                     |             |             |           |    |        |  L3475  |
U I       |           350.401   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           350.507   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
U I       |           350.734   |                  |   780 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           350.884   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U II      |           350.966   |                  |   390 |           |      |                     |             |             |           |    |        |  L3475  |
U I       |           351.367   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
U I       |           351.461   |                  |  1600 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           351.996   |                  |   390 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           353.111   |                  |   390 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U II      |           353.357   |                  |   630 |           |      |                     |             |             |           |    |        |  L3475  |
U I       |           353.433   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           354.047   |                  |   530 |           |      |                     |             |             |           |    |        |  L3475  |
U I       |           354.257   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           354.719   |                  |   390 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U I       |           354.920   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           355.082   |                  |  1200 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           355.217   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
U I       |           355.2950  |                  |    20 | 2.0e+06   |      |                     | 6           | 6           |  13 - 13  |    |  T3464 |  L1813  |
U I       |           355.3010  |                  |   370 | 1.4e+06   |      |                     | 4           | 3           |   9 - 7   |    |  T3464 |  L1813  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U I       |           355.3435  |                  |   720 | 2.2e+06   |      |                     | 7           | 6           |  15 - 13  |    |  T3464 |  L1813  |
U I       |           355.4499  |                  |   600 | 8.4e+05   |      |                     | 5           | 4           |  11 - 9   |    |  T3464 |  L1813  |
U I       |           355.4874  |                  |   390 | 7.9e+05   |      |                     | 7           | 8           |  15 - 17  |    |  T3464 |  L1813  |
U I       |           355.532   |                  |   680 | 2.7e+06   |      |                     | 6           | 7           |  13 - 15  |    |  T3464 |  L3475  |
U I       |           355.5827  |                  |   570 | 4.1e+05   |      |                     | 6           | 5           |  13 - 11  |    |  T3464 |  L1813  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U I       |           355.6925  |                  |    30 | 7.5e+05   |      |                     | 6           | 5           |  13 - 11  |    |  T3464 |  L1813  |
U I       |           355.7841  |                  |   910 | 2.9e+06   |      |                     | 6           | 6           |  13 - 13  |    |  T3464 |  L1813  |
U I       |           355.8015  |                  |   120 | 1.6e+06   |      |                     | 5           | 6           |  11 - 13  |    |  T3464 |  L1813  |
U I       |           355.8579  |                  |   470 | 3.9e+06   |      |                     | 4           | 3           |   9 - 7   |    |  T3464 |  L1813  |
U I       |           355.9400  |                  |   290 | 1.5e+06   |      |                     | 3           | 4           |   7 - 9   |    |  T3464 |  L1813  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U I       |           356.0309  |                  |   290 | 6.4e+06   |      |                     | 4           | 3           |   9 - 7   |    |  T3464 |  L1813  |
U I       |           356.141   |                  |   320 | 5.5e+06   |      |                     | 7           | 6           |  15 - 13  |    |  T3464 |  L3475  |
U I       |           356.1460  |                  |   110 | 2.5e+06   |      |                     | 4           | 4           |   9 - 9   |    |  T3464 |  L1813  |
U I       |           356.180   |                  |  1200 | 5.7e+06   |      |                     | 6           | 5           |  13 - 11  |    |  T3464 |  L3475  |
U I       |           356.366   |                  |   390 | 2.9e+06   |      |                     | 6           | 6           |  13 - 13  |    |  T3464 |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U I       |           356.3816  |                  |    40 | 1.1e+06   |      |                     | 3           | 3           |   7 - 7   |    |  T3464 |  L1813  |
U I       |           356.5046  |                  |   470 | 2.9e+06   |      |                     | 6           | 5           |  13 - 11  |    |  T3464 |  L1813  |
U I       |           356.6002  |                  |   490 | 1.7e+06   |      |                     | 6           | 7           |  13 - 15  |    |  T3464 |  L1813  |
U I       |           356.659   |                  |  2300 | 2.4e+07   |      |                     | 5           | 5           |  11 - 11  |    |  T3464 |  L3475  |
U I       |           356.8779  |                  |   600 | 3.8e+06   |      |                     | 6           | 6           |  13 - 13  |    |  T3464 |  L1813  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U I       |           356.908   |                  |   530 | 1.1e+07   |      |                     | 8           | 7           |  17 - 15  |    |  T3464 |  L3475  |
U I       |           356.9367  |                  |   290 | 1.5e+06   |      |                     | 4           | 4           |   9 - 9   |    |  T3464 |  L1813  |
U I       |           357.0094  |                  |   230 | 1.3e+06   |      |                     | 6           | 5           |  13 - 11  |    |  T3464 |  L1813  |
U I       |           357.0217  |                  |   370 | 5.3e+05   |      |                     | 5           | 4           |  11 - 9   |    |  T3464 |  L1813  |
U I       |           357.0584  |                  |   210 | 2.7e+06   |      |                     | 6           | 7           |  13 - 15  |    |  T3464 |  L1813  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U I       |           357.0711  |                  |   430 | 1.2e+06   |      |                     | 7           | 7           |  15 - 15  |    |  T3464 |  L1813  |
U I       |           357.1164  |                  |   550 | 6.3e+05   |      |                     | 5           | 5           |  11 - 11  |    |  T3464 |  L1813  |
U I       |           357.1551  |                  |   230 | 1.3e+07   |      |                     | 8           | 7           |  17 - 15  |    |  T3464 |  L1813  |
U I       |           357.2927  |                  |   470 | 1.5e+06   |      |                     | 6           | 7           |  13 - 15  |    |  T3464 |  L1813  |
U I       |           357.3875  |                  |   450 | 4.0e+06   |      |                     | 6           | 5           |  13 - 11  |    |  T3464 |  L1813  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U I       |           357.4110  |                  |   290 | 3.5e+06   |      |                     | 6           | 7           |  13 - 15  |    |  T3464 |  L1813  |
U I       |           357.476   |                  |   320 | 1.9e+06   |      |                     | 6           | 7           |  13 - 15  |    |  T3464 |  L3475  |
U I       |           357.7069  |                  |   370 | 4.3e+06   |      |                     | 8           | 7           |  17 - 15  |    |  T3464 |  L1813  |
U I       |           357.7490  |                  |   230 | 7.8e+05   |      |                     | 7           | 6           |  15 - 13  |    |  T3464 |  L1813  |
U I       |           357.7781  |                  |   430 | 8.3e+05   |      |                     | 5           | 5           |  11 - 11  |    |  T3464 |  L1813  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U I       |           357.792   |                  |   360 | 2.3e+06   |      |                     | 6           | 6           |  13 - 13  |    |  T3464 |  L3475  |
U I       |           357.8327  |                  |   620 | 2.0e+06   |      |                     | 6           | 5           |  13 - 11  |    |  T3464 |  L1813  |
U II      |           357.872   |                  |   630 |           |      |                     |             |             |           |    |        |  L3475  |
U I       |           357.9952  |                  |   160 | 1.2e+06   |      |                     | 4           | 4           |   9 - 9   |    |  T3464 |  L1813  |
U I       |           358.0246  |                  |   640 | 2.9e+06   |      |                     | 5           | 4           |  11 - 9   |    |  T3464 |  L1813  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U I       |           358.0365  |                  |   530 | 7.5e+05   |      |                     | 5           | 6           |  11 - 13  |    |  T3464 |  L1813  |
U I       |           358.0921  |                  |   430 | 2.1e+06   |      |                     | 6           | 6           |  13 - 13  |    |  T3464 |  L1813  |
U II      |           358.184   |                  |   360 |           |      |                     |             |             |           |    |        |  L3475  |
U I       |           358.2622  |                  |   530 | 2.9e+06   |      |                     | 6           | 6           |  13 - 13  |    |  T3464 |  L1813  |
U I       |           358.4641  |                  |   240 | 2.4e+06   |      |                     | 3           | 2           |   7 - 5   |    |  T3464 |  L1813  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U I       |           358.488   |                  |  3200 | 1.8e+07   |      |                     | 6           | 7           |  13 - 15  |    |  T3464 |  L3475  |
U I       |           358.5375  |                  |   600 | 1.9e+06   |      |                     | 5           | 5           |  11 - 11  |    |  T3464 |  L1813  |
U I       |           358.5837  |                  |   640 | 2.8e+06   |      |                     | 5           | 4           |  11 - 9   |    |  T3464 |  L1813  |
U I       |           358.7784  |                  |   150 | 1.3e+06   |      |                     | 4           | 5           |   9 - 11  |    |  T3464 |  L1813  |
U I       |           358.8348  |                  |   210 | 1.8e+06   |      |                     | 3           | 4           |   7 - 9   |    |  T3464 |  L1813  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
