[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Mn (all spectra): 3535 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 27000
Query NIST Bibliographic Databases for
Mn (new window)
Mn Energy Levels
Mn Line Wavelengths and Classification
Mn Transition Probabilities
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                  Observed  |                    Ritz    |   Rel. |    Aki    | Acc. |          Ei           Ek          |             Lower level             |              Upper level              |  gi   gk  |   Type|         TP  |           Line  |
          |                 Wavelength |                 Wavelength |   Int. |    s^-1   |      |        (cm-1)       (cm-1)        |-------------------------------------|---------------------------------------|           |       |        Ref. |           Ref.  |
          |                  Air (nm)  |                  Air (nm)  |   (?)  |           |      |                                   | Conf.                | Term  | J    | Conf.                  | Term  | J    |           |       |             |                 |
Mn II     |                202.546     |                202.54284   |      5 |           |      |    32836.74     -     82193.11    | 3d5.(4D).4s          | b 5D  | 1    | 3d5.(4F).4p            | y 5G* | 2    |   3 - 5   |       |             |           L562  |
Mn II     |                202.654     |                202.65392   |     40 |           |      |    32787.90     -     82117.22    | 3d5.(4D).4s          | b 5D  | 4    | 3d5.(4F).4p            | y 5G* | 5    |   9 - 11  |       |             |           L562  |
Mn III    |                202.783     |                            |  1000w |           |      |                                   |                      |       |      |                        |       |      |           |       |             |           L457  |
Mn III    |                202.814     |                            |   500w |           |      |                                   |                      |       |      |                        |       |      |           |       |             |           L457  |
Mn II     |                203.0098    |                203.01037   |     20 |           |      |    32857.27     -     82099.99    | 3d5.(4D).4s          | b 5D  | 3    | 3d5.(2F).4p            | y 3G* | 4    |   7 - 9   |       |             |           L562  |
          |                            |                            |        |           |      |                                   |                      |       |      |                        |       |      |           |       |             |                 |
Mn II     |                203.120     |                203.11961   |     30 |           |      |    30523.71     -     79739.95    | 3d6                  | a 3H  | 6    | 3d5.(2I).4p            | y 3H* | 5    |  13 - 11  |       |             |           L562  |
Mn II     |                203.216     |                203.21764   |     10 |           |      |    32859.15     -     82051.65    | 3d5.(4D).4s          | b 5D  | 2    | 3d5.(4F).4p            | x 5F* | 3    |   5 - 7   |       |             |           L562  |
Mn II     |                203.393     |                203.39206   |     50 |           |      |    34762.098    -     83912.42    | 3d6                  | b 3G  | 5    | 3d5.(4F).4p            | x 3G* | 5    |  11 - 11  |       |             |           L562  |
Mn II     |                203.5133    |                203.5123    |    15* |           |      |    43395.395    -     92516.68    | 3d5.(2D).4s          | c 3D  | 3    | 3d5.(b 2F).4p          | w 1G* | 4    |   7 - 9   |       |             |           L562  |
Mn II     |                203.5133    |                203.51307   |    15* |           |      |    30679.51     -     79800.61    | 3d6                  | a 3H  | 5    | 3d5.(2I).4p            | y 3H* | 4    |  11 - 9   |       |             |           L562  |
          |                            |                            |        |           |      |                                   |                      |       |      |                        |       |      |           |       |             |                 |
Mn II     |                203.548     |                203.54510   |      5 |           |      |    34762.098    -     83875.47    | 3d6                  | b 3G  | 5    | 3d5.(4F).4p            | x 3G* | 4    |  11 - 9   |       |             |           L562  |
Mn II     |                203.607     |                203.60689   |     10 |           |      |    32787.90     -     81886.37    | 3d5.(4D).4s          | b 5D  | 4    | 3d5.(4F).4p            | x 5F* | 5    |   9 - 11  |       |             |           L562  |
Mn II     |                203.731     |                203.7304    |    500 | 1.4e+08   | D    |    30523.71     -     79592.42    | 3d6                  | a 3H  | 6    | 3d5.(2I).4p            | y 3H* | 6    |  13 - 13  |       |         c88 |           L562  |
Mn II     |                203.7643    |                203.76474   |    400 | 1.2e+08   | D    |    30679.51     -     79739.95    | 3d6                  | a 3H  | 5    | 3d5.(2I).4p            | y 3H* | 5    |  11 - 11  |       |         c88 |           L562  |
Mn II     |                203.997     |                203.9922    |   400* |           |      |    32857.27     -     81863.01    | 3d5.(4D).4s          | b 5D  | 3    | 3d5.(4F).4p            | y 5G* | 4    |   7 - 9   |       |             |           L562  |
          |                            |                            |        |           |      |                                   |                      |       |      |                        |       |      |           |       |             |                 |
Mn II     |                203.997     |                203.9972    |   400* | 1.2e+08   | D    |    30796.06     -     79800.61    | 3d6                  | a 3H  | 4    | 3d5.(2I).4p            | y 3H* | 4    |   9 - 9   |       |         c88 |           L562  |
Mn II     |                204.1630    |                204.16321   |     40 |           |      |    34910.77     -     83875.47    | 3d6                  | b 3G  | 4    | 3d5.(4F).4p            | x 3G* | 4    |   9 - 9   |       |             |           L562  |
Mn II     |                204.214     |                204.21502   |     10 |           |      |    33147.71     -     82099.99    | 3d5.(4G).4s          | a 3G  | 5    | 3d5.(2F).4p            | y 3G* | 4    |  11 - 9   |       |             |           L562  |
Mn II     |                204.250     |                204.2500    |     10 |           |      |    30796.06     -     79739.95    | 3d6                  | a 3H  | 4    | 3d5.(2I).4p            | y 3H* | 5    |   9 - 11  |       |             |           L562  |
Mn II     |                204.312     |                204.31203   |     40 |           |      |    35004.79     -     83933.83    | 3d6                  | b 3G  | 3    | 3d5.(4F).4p            | x 3G* | 3    |   7 - 7   |       |             |           L562  |
          |                            |                            |        |           |      |                                   |                      |       |      |                        |       |      |           |       |             |                 |
Mn II     |                204.343     |                204.34319   |      1 |           |      |    32859.15     -     81780.73    | 3d5.(4D).4s          | b 5D  | 2    | 3d5.(4F).4p            | y 5G* | 3    |   5 - 7   |       |             |           L562  |
Mn II     |                204.3800    |                204.3794    |     15 |           |      |    30679.51     -     79592.42    | 3d6                  | a 3H  | 5    | 3d5.(2I).4p            | y 3H* | 6    |  11 - 13  |       |             |           L562  |
Mn III    |                204.457     |                            |    300 |           |      |                                   |                      |       |      |                        |       |      |           |       |             |           L457  |
Mn II     |                204.659     |                204.65883   |     20 |           |      |    33147.71     -     81993.85    | 3d5.(4G).4s          | a 3G  | 5    | 3d5.(4F).4p            | x 5F* | 4    |  11 - 9   |       |             |           L562  |
Mn III    |                204.893     |                            |    400 |           |      |                                   |                      |       |      |                        |       |      |           |       |             |           L457  |
          |                            |                            |        |           |      |                                   |                      |       |      |                        |       |      |           |       |             |                 |
Mn III    |                204.968     |                            |    500 |           |      |                                   |                      |       |      |                        |       |      |           |       |             |           L457  |
Mn III    |                205.680     |                            |    300 |           |      |                                   |                      |       |      |                        |       |      |           |       |             |           L457  |
Mn II     |                205.983     |                205.98343   |      1 |           |      |    33248.66     -     81780.73    | 3d5.(4G).4s          | a 3G  | 4    | 3d5.(4F).4p            | y 5G* | 3    |   9 - 7   |       |             |           L562  |
