[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
C (all spectra): 961 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 1000
Query NIST Bibliographic Databases for
C (new window)
C Energy Levels
C Line Wavelengths and Classification
C Transition Probabilities
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |                   Ritz    |  Rel. |    Aki    | Acc. |          Ei           Ek          |         Lower level          |             Upper level              |  gi   gk  |Type|               TP  |   Line  |
          |              Wavelength |                Wavelength |  Int. |    s^-1   |      |        (cm-1)       (cm-1)        |------------------------------|--------------------------------------|           |    |              Ref. |   Ref.  |
          |               Air (nm)  |                 Air (nm)  |  (?)  |           |      |                                   | Conf.           | Term | J   | Conf.                | Term   | J    |           |    |                   |         |
C II      |                         |                205.239    |       | 1.44e+07  | B    |  181711.03      -   230419        | 2s.2p.(3P*).3p  | 4D   | 3/2 | 2s.2p.(3P*).5d       | 4F*    | 3/2  |   4 - 4   |    |           T5109LS |         |
          |                         |                           |       |           |      |                                   |                 |      |     |                      |        |      |           |    |                   |         |
C II      |                         |                205.286    |       | 1.25e+07  | B    |  181736.05      -   230433        | 2s.2p.(3P*).3p  | 4D   | 5/2 | 2s.2p.(3P*).5d       | 4F*    | 5/2  |   6 - 6   |    |           T5109LS |         |
C II      |                         |                205.334    |       | 7.34e+06  | B    |  181772.41      -   230458        | 2s.2p.(3P*).3p  | 4D   | 7/2 | 2s.2p.(3P*).5d       | 4F*    | 7/2  |   8 - 8   |    |           T5109LS |         |
C II      |                         |                205.345    |       | 1.03e+06  | B    |  181736.05      -   230419        | 2s.2p.(3P*).3p  | 4D   | 5/2 | 2s.2p.(3P*).5d       | 4F*    | 3/2  |   6 - 4   |    |           T5109LS |         |
C II      |                         |                205.439    |       | 4.97e+05  | B    |  181772.41      -   230433        | 2s.2p.(3P*).3p  | 4D   | 7/2 | 2s.2p.(3P*).5d       | 4F*    | 5/2  |   8 - 6   |    |           T5109LS |         |
C III     |                         |                206.140    |       | 3.68e+05  | D    |  322003.68      -   370499        | 1s2.2s.4f       | 3F*  | 2   | 1s2.2s.8d            | 3D     | 1    |   5 - 3   |    |           T5633LS |         |
          |                         |                           |       |           |      |                                   |                 |      |     |                      |        |      |           |    |                   |         |
C III     |                         |                206.140    |       | 4.10e+04  | D    |  322003.68      -   370499        | 1s2.2s.4f       | 3F*  | 2   | 1s2.2s.8d            | 3D     | 2    |   5 - 5   |    |           T5633LS |         |
C III     |                         |                206.140    |       | 8.27e+02  | D    |  322003.68      -   370499        | 1s2.2s.4f       | 3F*  | 2   | 1s2.2s.8d            | 3D     | 3    |   5 - 7   |    |           T5633LS |         |
C III     |                         |                206.165    |       | 3.27e+05  | D    |  322009.58      -   370499        | 1s2.2s.4f       | 3F*  | 3   | 1s2.2s.8d            | 3D     | 2    |   7 - 5   |    |           T5633LS |         |
C III     |                         |                206.165    |       | 2.93e+04  | D    |  322009.58      -   370499        | 1s2.2s.4f       | 3F*  | 3   | 1s2.2s.8d            | 3D     | 3    |   7 - 7   |    |           T5633LS |         |
C III     |                         |                206.200    |       | 3.38e+05  | C    |  322017.97      -   370499        | 1s2.2s.4f       | 3F*  | 4   | 1s2.2s.8d            | 3D     | 3    |   9 - 7   |    |           T5633LS |         |
          |                         |                           |       |           |      |                                   |                 |      |     |                      |        |      |           |    |                   |         |
C IV      |                         |                206.428    |       | 7.28e+05  | B    |  449888.2       -  [498315.7]     | 1s2.5d          | 2D   | 3/2 | 1s2.9p               | 2P*    | 3/2  |   4 - 4   |    |           T3225LS |         |
C IV      |                         |                206.433    |       | 7.28e+06  | B    |  449888.2       -  [498314.6]     | 1s2.5d          | 2D   | 3/2 | 1s2.9p               | 2P*    | 1/2  |   4 - 2   |    |           T3225LS |         |
C IV      |                         |                206.436    |       | 6.55e+06  | B    |  449889.9       -  [498315.7]     | 1s2.5d          | 2D   | 5/2 | 1s2.9p               | 2P*    | 3/2  |   6 - 4   |    |           T3225LS |         |
C III     |                         |                206.485    |       | 6.88e+07  | B    |  332691.28      -   381105.4      | 1s2.2p.(2P*).3d | 1D*  | 2   | 1s2.2p.(2P*).4p      | 1P     | 1    |   5 - 3   |    |             T5633 |         |
C VI      |                         |                206.88493  |       | 4.864e+08 | AA   |(3793995.4430)   - (3842316.0633)  | 5p              | 2P*  | 1/2 | 6d                   | 2D     | 3/2  |   2 - 4   |    |       T6492extrap |         |
          |                         |                           |       |           |      |                                   |                 |      |     |                      |        |      |           |    |                   |         |
C VI      |                         |                206.89205  |       | 3.152e+08 | AA   |(3793997.1367)   - (3842316.0935)  | 5s              | 2S   | 1/2 | 6p                   | 2P*    | 3/2  |   2 - 4   |    |       T6492extrap |         |
C VI      |                         |                206.95594  |       | 1.161e+08 | AA   |(3793995.4430)   - (3842299.4846)  | 5p              | 2P*  | 1/2 | 6s                   | 2S     | 1/2  |   2 - 2   |    |       T6492extrap |         |
C VI      |                         |                206.96741  |       | 3.147e+08 | AA   |(3793997.1367)   - (3842298.5037)  | 5s              | 2S   | 1/2 | 6p                   | 2P*    | 1/2  |   2 - 2   |    |       T6492extrap |         |
C VI      |                         |                206.98987  |       | 8.755e+08 | AA   |(3794025.7876)   - (3842321.9117)  | 5d              | 2D   | 3/2 | 6f                   | 2F*    | 5/2  |   4 - 6   |    |       T6492extrap |         |
C VI      |                         |                206.99005  |       | 5.824e+08 | AA   |(3794025.8393)   - (3842321.9224)  | 5p              | 2P*  | 3/2 | 6d                   | 2D     | 5/2  |   4 - 6   |    |       T6492extrap |         |
          |                         |                           |       |           |      |                                   |                 |      |     |                      |        |      |           |    |                   |         |
C VI      |                         |                207.01482  |       | 1.245e+07 | AA   |(3794025.7876)   - (3842316.0935)  | 5d              | 2D   | 3/2 | 6p                   | 2P*    | 3/2  |   4 - 4   |    |       T6492extrap |         |
C VI      |                         |                207.01517  |       | 9.705e+07 | AA   |(3794025.8393)   - (3842316.0633)  | 5p              | 2P*  | 3/2 | 6d                   | 2D     | 3/2  |   4 - 4   |    |       T6492extrap |         |
C VI      |                         |                207.02067  |       | 1.383e+09 | AA   |(3794035.8938)   - (3842324.8352)  | 5f              | 2F*  | 5/2 | 6g                   | 2G     | 7/2  |   6 - 8   |    |       T6492extrap |         |
C VI      |                         |                207.02073  |       | 9.376e+08 | AA   |(3794035.9122)   - (3842324.8407)  | 5d              | 2D   | 5/2 | 6f                   | 2F*    | 7/2  |   6 - 8   |    |       T6492extrap |         |
C VI      |                         |                207.03315  |       | 2.414e+06 | AA   |(3794035.8938)   - (3842321.9224)  | 5f              | 2F*  | 5/2 | 6d                   | 2D     | 5/2  |   6 - 6   |    |       T6492extrap |         |
          |                         |                           |       |           |      |                                   |                 |      |     |                      |        |      |           |    |                   |         |
C VI      |                         |                207.03328  |       | 6.251e+07 | AA   |(3794035.9122)   - (3842321.9117)  | 5d              | 2D   | 5/2 | 6f                   | 2F*    | 5/2  |   6 - 6   |    |       T6492extrap |         |
C VI      |                         |                207.03481  |       | 2.086e+09 | AA   |(3794040.9456)   - (3842326.5890)  | 5g              | 2G   | 7/2 | 6h                   | 2H*    | 9/2  |   8 - 10  |    |       T6492extrap |         |
C VI      |                         |                207.03483  |       | 1.434e+09 | AA   |(3794040.9551)   - (3842326.5925)  | 5f              | 2F*  | 7/2 | 6g                   | 2G     | 9/2  |   8 - 10  |    |       T6492extrap |         |
C VI      |                         |                207.04230  |       | 4.097e+05 | AA   |(3794040.9456)   - (3842324.8407)  | 5g              | 2G   | 7/2 | 6f                   | 2F*    | 7/2  |   8 - 8   |    |       T6492extrap |         |
C VI      |                         |                207.04237  |       | 5.119e+07 | AA   |(3794040.9551)   - (3842324.8352)  | 5f              | 2F*  | 7/2 | 6g                   | 2G     | 7/2  |   8 - 8   |    |       T6492extrap |         |
          |                         |                           |       |           |      |                                   |                 |      |     |                      |        |      |           |    |                   |         |
C VI      |                         |                207.04281  |       | 2.133e+09 | AA   |(3794043.9821)   - (3842327.7605)  | 5g              | 2G   | 9/2 | 6h                   | 2H*    | 11/2 |  10 - 12  |    |       T6492extrap |         |
C VI      |                         |                207.04783  |       | 4.739e+07 | AA   |(3794043.9821)   - (3842326.5890)  | 5g              | 2G   | 9/2 | 6h                   | 2H*    | 9/2  |  10 - 10  |    |       T6492extrap |         |
C VI      |                         |                207.05486  |       | 4.826e+07 | AA   |(3794040.9551)   - (3842321.9224)  | 5f              | 2F*  | 7/2 | 6d                   | 2D     | 5/2  |   8 - 6   |    |       T6492extrap |         |
C VI      |                         |                207.05487  |       | 1.475e+07 | AA   |(3794040.9456)   - (3842321.9117)  | 5g              | 2G   | 7/2 | 6f                   | 2F*    | 5/2  |   8 - 6   |    |       T6492extrap |         |
C VI      |                         |                207.05533  |       | 1.434e+07 | AA   |(3794043.9821)   - (3842324.8407)  | 5g              | 2G   | 9/2 | 6f                   | 2F*    | 7/2  |  10 - 8   |    |       T6492extrap |         |
          |                         |                           |       |           |      |                                   |                 |      |     |                      |        |      |           |    |                   |         |
C VI      |                         |                207.05824  |       | 1.119e+08 | AA   |(3794035.9122)   - (3842316.0935)  | 5d              | 2D   | 5/2 | 6p                   | 2P*    | 3/2  |   6 - 4   |    |       T6492extrap |         |
C VI      |                         |                207.05829  |       | 5.067e+07 | AA   |(3794035.8938)   - (3842316.0633)  | 5f              | 2F*  | 5/2 | 6d                   | 2D     | 3/2  |   6 - 4   |    |       T6492extrap |         |
C VI      |                         |                207.08627  |       | 2.316e+08 | AA   |(3794025.8393)   - (3842299.4846)  | 5p              | 2P*  | 3/2 | 6s                   | 2S     | 1/2  |   4 - 2   |    |       T6492extrap |         |
C VI      |                         |                207.09026  |       | 1.243e+08 | AA   |(3794025.7876)   - (3842298.5037)  | 5d              | 2D   | 3/2 | 6p                   | 2P*    | 1/2  |   4 - 2   |    |       T6492extrap |         |
C III     |                         |                208.947    |       | 2.50e+07  | B    |  317794.26      -   365638        | 1s2.2s.4p       | 3P*  | 0   | 1s2.2s.7d            | 3D     | 1    |   1 - 3   |    |           T5633LS |         |
          |                         |                           |       |           |      |                                   |                 |      |     |                      |        |      |           |    |                   |         |
C III     |                         |                208.957    |       | 3.37e+07  | B    |  317796.51      -   365638        | 1s2.2s.4p       | 3P*  | 1   | 1s2.2s.7d            | 3D     | 2    |   3 - 5   |    |           T5633LS |         |
C III     |                         |                208.957    |       | 1.87e+07  | B    |  317796.51      -   365638        | 1s2.2s.4p       | 3P*  | 1   | 1s2.2s.7d            | 3D     | 1    |   3 - 3   |    |           T5633LS |         |
C III     |                         |                208.978    |       | 4.49e+07  | B    |  317801.30      -   365638        | 1s2.2s.4p       | 3P*  | 2   | 1s2.2s.7d            | 3D     | 3    |   5 - 7   |    |           T5633LS |         |
C III     |                         |                208.978    |       | 1.12e+07  | B    |  317801.30      -   365638        | 1s2.2s.4p       | 3P*  | 2   | 1s2.2s.7d            | 3D     | 2    |   5 - 5   |    |           T5633LS |         |
C III     |                         |                208.978    |       | 1.25e+06  | B    |  317801.30      -   365638        | 1s2.2s.4p       | 3P*  | 2   | 1s2.2s.7d            | 3D     | 1    |   5 - 3   |    |           T5633LS |         |
          |                         |                           |       |           |      |                                   |                 |      |     |                      |        |      |           |    |                   |         |
C II      |                         |                209.1135   |       | 1.00e+07  | B    |  166967.13      -   214772.84     | 2s.2p.(3P*).3s  | 4P*  | 1/2 | 2s.2p.(3P*).4p       | 4D     | 3/2  |   2 - 4   |    |           T5109LS |         |
C II      |                         |                209.1187   |       | 1.69e+07  | B    |  166990.73      -   214795.27     | 2s.2p.(3P*).3s  | 4P*  | 3/2 | 2s.2p.(3P*).4p       | 4D     | 5/2  |   4 - 6   |    |           T5109LS |         |
C II      |                         |                209.1645   |       | 2.41e+07  | B    |  167035.71      -   214829.77     | 2s.2p.(3P*).3s  | 4P*  | 5/2 | 2s.2p.(3P*).4p       | 4D     | 7/2  |   6 - 8   |    |           T5109LS |         |
C II      |                         |                209.1701   |       | 2.01e+07  | B    |  166967.13      -   214759.91     | 2s.2p.(3P*).3s  | 4P*  | 1/2 | 2s.2p.(3P*).4p       | 4D     | 1/2  |   2 - 2   |    |           T5109LS |         |
C III     |                         |                209.1802   |       | 1.09e+06  | B    |  270010.83      -   317801.30     | 1s2.2s.3d       | 3D   | 1   | 1s2.2s.4p            | 3P*    | 2    |   3 - 5   |    |           T5633LS |         |
          |                         |                           |       |           |      |                                   |                 |      |     |                      |        |      |           |    |                   |         |
C III     |                         |                209.1851   |       | 1.64e+07  | B    |  270011.93      -   317801.30     | 1s2.2s.3d       | 3D   | 2   | 1s2.2s.4p            | 3P*    | 2    |   5 - 5   |    |           T5633LS |         |
C III     |                         |                209.1974   |       | 9.17e+07  | B    |  270014.74      -   317801.30     | 1s2.2s.3d       | 3D   | 3   | 1s2.2s.4p            | 3P*    | 2    |   7 - 5   |    |           T5633LS |         |
C III     |                         |                209.2012   |       | 2.73e+07  | B    |  270010.83      -   317796.51     | 1s2.2s.3d       | 3D   | 1   | 1s2.2s.4p            | 3P*    | 1    |   3 - 3   |    |           T5633LS |         |
C III     |                         |                209.2060   |       | 8.19e+07  | B    |  270011.93      -   317796.51     | 1s2.2s.3d       | 3D   | 2   | 1s2.2s.4p            | 3P*    | 1    |   5 - 3   |    |           T5633LS |         |
C III     |                         |                209.2111   |       | 1.09e+08  | B    |  270010.83      -   317794.26     | 1s2.2s.3d       | 3D   | 1   | 1s2.2s.4p            | 3P*    | 0    |   3 - 1   |    |           T5633LS |         |
          |                         |                           |       |           |      |                                   |                 |      |     |                      |        |      |           |    |                   |         |
C II      |                         |                209.2168   |       | 1.28e+07  | B    |  166990.73      -   214772.84     | 2s.2p.(3P*).3s  | 4P*  | 3/2 | 2s.2p.(3P*).4p       | 4D     | 3/2  |   4 - 4   |    |           T5109LS |         |
C II      |                         |                209.2735   |       | 4.00e+06  | B    |  166990.73      -   214759.91     | 2s.2p.(3P*).3s  | 4P*  | 3/2 | 2s.2p.(3P*).4p       | 4D     | 1/2  |   4 - 2   |    |           T5109LS |         |
C II      |                         |                209.3156   |       | 7.20e+06  | B    |  167035.71      -   214795.27     | 2s.2p.(3P*).3s  | 4P*  | 5/2 | 2s.2p.(3P*).4p       | 4D     | 5/2  |   6 - 6   |    |           T5109LS |         |
C II      |                         |                209.4140   |       | 1.20e+06  | B    |  167035.71      -   214772.84     | 2s.2p.(3P*).3s  | 4P*  | 5/2 | 2s.2p.(3P*).4p       | 4D     | 3/2  |   6 - 4   |    |           T5109LS |         |
C III     |                         |                210.0436   |       | 1.64e+07  | B    |  309457.17      -   357051.23     | 1s2.2s.4s       | 3S   | 1   | 1s2.2s.6p            | 3P*    | 2    |   3 - 5   |    |           T5633LS |         |
          |                         |                           |       |           |      |                                   |                 |      |     |                      |        |      |           |    |                   |         |
C III     |                         |                210.0483   |       | 1.64e+07  | B    |  309457.17      -   357050.17     | 1s2.2s.4s       | 3S   | 1   | 1s2.2s.6p            | 3P*    | 1    |   3 - 3   |    |           T5633LS |         |
C III     |                         |                210.0518   |       | 1.64e+07  | B    |  309457.17      -   357049.38     | 1s2.2s.4s       | 3S   | 1   | 1s2.2s.6p            | 3P*    | 0    |   3 - 1   |    |           T5633LS |         |
C IV      |                         |                210.394    |       | 1.08e+08  | B+   |  401348.1       -   448862.9      | 1s2.4s          | 2S   | 1/2 | 1s2.5p               | 2P*    | 3/2  |   2 - 4   |    |           T5118LS |         |
C IV      |                         |                210.425    |       | 1.08e+08  | B+   |  401348.1       -   448855.8      | 1s2.4s          | 2S   | 1/2 | 1s2.5p               | 2P*    | 1/2  |   2 - 2   |    |           T5118LS |         |
C II      |                         |                211.363    |       | 4.28e+06  | B    |  186443.69      -   233740.7      | 2s.2p.(3P*).3p  | 4P   | 3/2 | 2s.2p.(3P*).6s       | 4P*    | 5/2  |   4 - 6   |    |           T5109LS |         |
          |                         |                           |       |           |      |                                   |                 |      |     |                      |        |      |           |    |                   |         |
C II      |                         |                211.463    |       | 9.97e+06  | B    |  186466.02      -   233740.7      | 2s.2p.(3P*).3p  | 4P   | 5/2 | 2s.2p.(3P*).6s       | 4P*    | 5/2  |   6 - 6   |    |           T5109LS |         |
C II      |                         |                211.502    |       | 5.93e+06  | B    |  186427.35      -   233693.3      | 2s.2p.(3P*).3p  | 4P   | 1/2 | 2s.2p.(3P*).6s       | 4P*    | 3/2  |   2 - 4   |    |           T5109LS |         |
C II      |                         |                211.575    |       | 1.90e+06  | B    |  186443.69      -   233693.3      | 2s.2p.(3P*).3p  | 4P   | 3/2 | 2s.2p.(3P*).6s       | 4P*    | 3/2  |   4 - 4   |    |           T5109LS |         |
C II      |                         |                211.602    |       | 2.37e+06  | B    |  186427.35      -   233670.9      | 2s.2p.(3P*).3p  | 4P   | 1/2 | 2s.2p.(3P*).6s       | 4P*    | 1/2  |   2 - 2   |    |           T5109LS |         |
C II      |                         |                211.675    |       | 1.18e+07  | B    |  186443.69      -   233670.9      | 2s.2p.(3P*).3p  | 4P   | 3/2 | 2s.2p.(3P*).6s       | 4P*    | 1/2  |   4 - 2   |    |           T5109LS |         |
          |                         |                           |       |           |      |                                   |                 |      |     |                      |        |      |           |    |                   |         |
C II      |                         |                211.675    |       | 6.39e+06  | B    |  186466.02      -   233693.3      | 2s.2p.(3P*).3p  | 4P   | 5/2 | 2s.2p.(3P*).6s       | 4P*    | 3/2  |   6 - 4   |    |           T5109LS |         |
C IV      |                         |                212.198    |       | 1.80e+07  | B    |  445368.5       -  [492479.3]     | 1s2.5s          | 2S   | 1/2 | 1s2.8p               | 2P*    | 3/2  |   2 - 4   |    |           T5118LS |         |
