[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Ca (all spectra): 529 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 14000
Query NIST Bibliographic Databases for
Ca (new window)
Ca Energy Levels
Ca Line Wavelengths and Classification
Ca Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |                  Ritz    |       Rel. |    Aki    | Acc. |         Ei           Ek         |              Lower level              |              Upper level               |  gi   gk  |   Type|             TP  |      Line  |
          |              Wavelength |               Wavelength |       Int. |    s^-1   |      |       (cm-1)       (cm-1)       |---------------------------------------|----------------------------------------|           |       |            Ref. |      Ref.  |
          |               Air (nm)  |                Air (nm)  |       (?)  |           |      |                                 | Conf.                 | Term    | J   | Conf.                 | Term     | J   |           |       |                 |            |
Ca II     |              211.276    |               211.2757   |            | 9.7e+07   | C    |  25414.40      -   72730.93     | 3p6.4p                | 2P*     | 3/2 | 3p6.5d                | 2D       | 5/2 |   4 - 6   |       |           T8043 |     L7323  |
Ca II     |              211.315    |               211.3146   |            | 1.6e+07   | C    |  25414.40      -   72722.23     | 3p6.4p                | 2P*     | 3/2 | 3p6.5d                | 2D       | 3/2 |   4 - 4   |       |           T8043 |     L7323  |
Ca III    |              211.4413   |               211.4407   |       3400 | 7.9e+08   | B    | 277380.86      -  324660.47     | 3s2.3p5.4p            | 3D      | 2   | 3s2.3p5.(2P*<3/2>).4d | 2[7/2]*  | 3   |   5 - 7   |       |             u33 |      L262  |
Ca III    |              212.3029   |               212.3019   |       5000 | 9.2e+08   | B    | 277022.40      -  324110.24     | 3s2.3p5.4p            | 3D      | 3   | 3s2.3p5.(2P*<3/2>).4d | 2[7/2]*  | 4   |   7 - 9   |       |             u33 |      L262  |
          |                         |                          |            |           |      |                                 |                       |         |     |                       |          |     |           |       |                 |            |
Ca III    |              212.6812   |               212.6813   |        900 | 5.7e+07   | C    | 243930.44      -  290934.30     | 3s2.3p5.4s            | 3P*     | 1   | 3s2.3p5.4p            | 1S       | 0   |   3 - 1   |       |           T7942 |      L262  |
Ca II     |              212.875    |               212.8750   |            | 2.0e+05   | D    |  13650.19      -   60611.28     | 3p6.3d                | 2D      | 3/2 | 3p6.5p                | 2P*      | 3/2 |   4 - 4   |       |           u7,LS |     L7323  |
Ca III    |              212.9191   |               212.9188   |       2600 | 7.2e+08   | B    | 281139.55      -  328090.99     | 3s2.3p5.4p            | 1P      | 1   | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]*  | 2   |   3 - 5   |       |             u33 |      L262  |
Ca II     |              213.151    |               213.1505   |            | 1.8e+06   | D    |  13710.88      -   60611.28     | 3p6.3d                | 2D      | 5/2 | 3p6.5p                | 2P*      | 3/2 |   6 - 4   |       |           u7,LS |     L7323  |
Ca II     |              213.230    |               213.2304   |            | 2.0e+06   | D    |  13650.19      -   60533.02     | 3p6.3d                | 2D      | 3/2 | 3p6.5p                | 2P*      | 1/2 |   4 - 2   |       |           u7,LS |     L7323  |
