[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Cl (all spectra): 481 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 99000
Query NIST Bibliographic Databases for
Cl (new window)
Cl Energy Levels
Cl Line Wavelengths and Classification
Cl Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |                Ritz    |   Rel. |    Aki    | Acc. |        Ei           Ek        |          Lower level          |           Upper level           |  gi   gk  |Type|                   TP  |   Line  |
          |             Wavelength |             Wavelength |   Int. |    s^-1   |      |      (cm-1)       (cm-1)      |-------------------------------|---------------------------------|           |    |                  Ref. |   Ref.  |
          |              Air (nm)  |              Air (nm)  |   (?)  |           |      |                               | Conf.            | Term | J   | Conf.              | Term | J   |           |    |                       |         |
Cl III    |                        |              246.839   |        | 4.6e+07   | D    | 201072.41     -  241572.4?    | 3s2.3p2.(3P).4p  | 4D*  | 1/2 | 3s2.3p2.(3P).4d    | 4D   | 3/2 |   2 - 4   |    |            T1619CA,LS |         |
Cl III    |                        |              246.918   |        | 9.3e+07   | D    | 201072.41     -  241559.4?    | 3s2.3p2.(3P).4p  | 4D*  | 1/2 | 3s2.3p2.(3P).4d    | 4D   | 1/2 |   2 - 2   |    |            T1619CA,LS |         |
Cl III    |                        |              247.0778  |        | 1.6e+07   | D    | 202366.62     -  242827.48    | 3s2.3p2.(3P).4p  | 4D*  | 7/2 | 3s2.3p2.(3P).4d    | 4P   | 5/2 |   8 - 6   |    |            T1619CA,LS |         |
Cl III    |                        |              247.731   |        | 4.3e+07   | D    | 201330.92     -  241685.1?    | 3s2.3p2.(3P).4p  | 4D*  | 3/2 | 3s2.3p2.(3P).4d    | 4D   | 5/2 |   4 - 6   |    |            T1619CA,LS |         |
          |                        |                        |        |           |      |                               |                  |      |     |                    |      |     |           |    |                       |         |
Cl III    |                        |              248.173   |        | 2.6e+07   | D    | 201763.86     -  242046.2?    | 3s2.3p2.(3P).4p  | 4D*  | 5/2 | 3s2.3p2.(3P).4d    | 4D   | 7/2 |   6 - 8   |    |            T1619CA,LS |         |
Cl III    |                        |              248.425   |        | 7.3e+07   | D    | 201330.92     -  241572.4?    | 3s2.3p2.(3P).4p  | 4D*  | 3/2 | 3s2.3p2.(3P).4d    | 4D   | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl III    |                        |              248.505   |        | 9.1e+07   | D    | 201330.92     -  241559.4?    | 3s2.3p2.(3P).4p  | 4D*  | 3/2 | 3s2.3p2.(3P).4d    | 4D   | 1/2 |   4 - 2   |    |            T1619CA,LS |         |
Cl III    |              248.691   |              248.686   |    500 | 6.8e+07   | D    | 205938.06     -  246137.2?    | 3s2.3p2.(3P).4p  | 4S*  | 3/2 | 3s2.3p2.(3P).5s    | 4P   | 5/2 |   4 - 6   |    |            T1619CA,LS |   L480  |
Cl II     |                        |              249.6002  |        | 1.3e+07   | D    | 128622.99     -  168674.98    | 3s2.3p3.(4S*).4p | 5P   | 1   | 3s2.3p3.(4S*).6s   | 5S*  | 2   |   3 - 5   |    |            T1619CA,LS |         |
