[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Si (all spectra): 1170 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 1000
Query NIST Bibliographic Databases for
Si (new window)
Si Energy Levels
Si Line Wavelengths and Classification
Si Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |                   Ritz    |  Rel. |    Aki    | Acc. |          Ei           Ek           |              Lower level              |                 Upper level                  |  gi   gk  |Type|                  TP  |   Line  |
          |                Wavelength |                Wavelength |  Int. |    s^-1   |      |        (cm-1)       (cm-1)         |---------------------------------------|----------------------------------------------|           |    |                 Ref. |   Ref.  |
          |                 Air (nm)  |                 Air (nm)  |  (?)  |           |      |                                    | Conf.                 | Term    | J   | Conf.                     | Term       | J   |           |    |                      |         |
Si VII    |                           |                 214.664   |       | 7.70e-03  | B    |        0.0      -     46569.8      | 2s2.2p4               | 3P      | 2   | 2s2.2p4                   | 1D         | 2   |   5 - 5   | E2 |       T7370c12,T6146 |         |
Si VII    |                           |                 214.664   |       | 1.24e+01  | B    |        0.0      -     46569.8      | 2s2.2p4               | 3P      | 2   | 2s2.2p4                   | 1D         | 2   |   5 - 5   | M1 |       T7370c12,T6146 |         |
Si I      |                 214.791   |                           |   50w |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |  L3521  |
Si IX     |                           |                 214.93    |       | 1.80e+01  | B+   |     6414        -     52925.9      | 2s2.2p2               | 3P      | 2   | 2s2.2p2                   | 1D         | 2   |   5 - 5   | M1 |        T7333c7,T6645 |         |
Si IX     |                           |                 214.93    |       | 7.51e-03  | B    |     6414        -     52925.9      | 2s2.2p2               | 3P      | 2   | 2s2.2p2                   | 1D         | 2   |   5 - 5   | E2 |        T7333c7,T6645 |         |
          |                           |                           |       |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |         |
Si VI     |                           |                 215.33    |       | 7.49e+04  | D+   |  1147901        -   1194327        | 2s2.2p4.(1D).3p       | 2P*     | 3/2 | 2s2.2p4.(3P).3d           | 4F         | 3/2 |   4 - 4   |    |                  c44 |         |
Si III    |                           |                 216.5537  |       | 4.47e+05  | D    |   198923.15     -    245086.58     | 3p.3d                 | 3F*     | 2   | 3p.4p                     | 3D         | 3   |   5 - 7   |    |           T6298c4,LS |         |
Si III    |                           |                 217.0396  |       | 1.57e+07  | C    |   199026.49     -    245086.58     | 3p.3d                 | 3F*     | 3   | 3p.4p                     | 3D         | 3   |   7 - 7   |    |           T6298c4,LS |         |
Si III    |                           |                 217.1559  |       | 7.01e+07  | C    |   204330.79     -    250366.22     | 3s.4d                 | 1D      | 2   | 3s.7f                     | 1F*        | 3   |   5 - 7   |    |              T6298c4 |         |
Si III    |                           |                 217.5933  |       | 2.18e+07  | C    |   198923.15     -    244866.05     | 3p.3d                 | 3F*     | 2   | 3p.4p                     | 3D         | 2   |   5 - 5   |    |           T6298c4,LS |         |
          |                           |                           |       |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |         |
Si III    |                 217.689   |                 217.6901  |     5 | 1.80e+08  | B    |   199164.10     -    245086.58     | 3p.3d                 | 3F*     | 4   | 3p.4p                     | 3D         | 3   |   9 - 7   |    |           T6298c4,LS |  L4833  |
Si XI     |                           |                 218.03    |       | 8.25e+06  | C    |  2512380        -   2558230        | 1s2.2p.3p             | 3P      | 2   | 1s2.2p.3d                 | 3P*        | 1   |   5 - 3   |    |           T5633c4,LS |         |
Si III    |                           |                 218.0839  |       | 1.73e+08  | B    |   199026.49     -    244866.05     | 3p.3d                 | 3F*     | 3   | 3p.4p                     | 3D         | 2   |   7 - 5   |    |           T6298c4,LS |         |
Si III    |                           |                 218.2066  |       | 1.95e+08  | C+   |   198923.15     -    244736.93     | 3p.3d                 | 3F*     | 2   | 3p.4p                     | 3D         | 1   |   5 - 3   |    |           T6298c4,LS |         |
Si IX     |                           |                 218.21    |       | 9.78e-06  | D+   |   446942        -    492755        | 2s.2p3                | 3S*     | 1   | 2s.2p3                    | 1P*        | 1   |   3 - 3   | E2 |              T7333c7 |         |
          |                           |                           |       |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |         |
Si IX     |                           |                 218.21    |       | 3.11e+01  | B    |   446942        -    492755        | 2s.2p3                | 3S*     | 1   | 2s.2p3                    | 1P*        | 1   |   3 - 3   | M1 |              T7333c7 |         |
Si III    |                           |                 219.1939  |       | 1.30e+07  | D    |   205029.09     -    250636.55     | 3p.3d                 | 1D*     | 2   | 3s.7d                     | 1D         | 2   |   5 - 5   |    |              T6298c4 |         |
Si VI     |                           |                 220.29    |       | 2.49e+05  | B    |  1041416        -   1086796        | 2s2.2p4.(1D).3s       | 2D      | 5/2 | 2s2.2p4.(3P).3p           | 2D*        | 5/2 |   6 - 6   |    |                  c44 |         |
Si VI     |                           |                 220.56    |       | 6.85e+03  | C+   |  1041472        -   1086796        | 2s2.2p4.(1D).3s       | 2D      | 3/2 | 2s2.2p4.(3P).3p           | 2D*        | 5/2 |   4 - 6   |    |                  c44 |         |
Si VI     |                           |                 220.57    |       | 2.71e+05  | C    |  1147901        -   1193223        | 2s2.2p4.(1D).3p       | 2P*     | 3/2 | 2s2.2p4.(3P).3d           | 4F         | 5/2 |   4 - 6   |    |                  c44 |         |
          |                           |                           |       |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |         |
Si I      |                           |                 220.7128  |       | 4.68e-03  | D    |        0.000    -     45293.629    | 3s2.3p2               | 3P      | 0   | 3s.3p3                    | 3D*        | 2   |   1 - 5   | M2 |                  c22 |         |
Si I      |                 220.798   |                 220.7978  |   110 | 2.62e+07  | B    |        0.000    -     45276.188    | 3s2.3p2               | 3P      | 0   | 3s.3p3                    | 3D*        | 1   |   1 - 3   |    |                T5814 |  L3521  |
Si III    |                           |                 220.8710  |       | 2.08e+03  | B+   |   159069.61     -    204330.79     | 3s.4s                 | 1S      | 0   | 3s.4d                     | 1D         | 2   |   1 - 5   | E2 |                  c44 |         |
Si I      |                           |                 220.9513  |       | 4.58e-03  | D    |       77.115    -     45321.848    | 3s2.3p2               | 3P      | 1   | 3s.3p3                    | 3D*        | 3   |   3 - 7   | M2 |                  c22 |         |
Si I      |                 221.089   |                 221.0892  |   115 | 3.46e+07  | B    |       77.115    -     45293.629    | 3s2.3p2               | 3P      | 1   | 3s.3p3                    | 3D*        | 2   |   3 - 5   |    |                T5814 |  L3521  |
          |                           |                           |       |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |         |
Si I      |                 221.174   |                 221.1745  |   110 | 1.81e+07  | B    |       77.115    -     45276.188    | 3s2.3p2               | 3P      | 1   | 3s.3p3                    | 3D*        | 1   |   3 - 3   |    |                T5814 |  L3521  |
Si IV     |                           |                 221.5669  |       | 6.88e+07  | B+   |   291497.50     -    336616.55     | 2p6.5d                | 2D      | 3/2 | 2p6.8f                    | 2F*        | 5/2 |   4 - 6   |    |                  c33 |         |
Si IV     |                           |                 221.5673  |       | 7.37e+07  | B+   |   291497.60     -    336616.55     | 2p6.5d                | 2D      | 5/2 | 2p6.8f                    | 2F*        | 7/2 |   6 - 8   |    |                  c33 |         |
Si IV     |                           |                 221.5673  |       | 4.91e+06  | B    |   291497.60     -    336616.55     | 2p6.5d                | 2D      | 5/2 | 2p6.8f                    | 2F*        | 5/2 |   6 - 6   |    |                  c33 |         |
Si I      |                 221.667   |                 221.6669  |   120 | 4.54e+07  | B    |      223.157    -     45321.848    | 3s2.3p2               | 3P      | 2   | 3s.3p3                    | 3D*        | 3   |   5 - 7   |    |                T5814 |  L3521  |
          |                           |                           |       |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |         |
Si I      |                 221.806   |                 221.8057  |   120 | 1.09e+07  | B    |      223.157    -     45293.629    | 3s2.3p2               | 3P      | 2   | 3s.3p3                    | 3D*        | 2   |   5 - 5   |    |                T5814 |  L3521  |
Si III    |                           |                 221.890   |       | 4.22e+06  | E    |   209531.40     -    254584.8      | 3s.4f                 | 3F*     | 2   | 3s.8g                     | 3G         | 3   |   5 - 7   |    |           T6298c4,LS |         |
Si I      |                 221.891   |                 221.8916  |    50 | 1.05e+06  | C+   |      223.157    -     45276.188    | 3s2.3p2               | 3P      | 2   | 3s.3p3                    | 3D*        | 1   |   5 - 3   |    |                T5814 |  L3521  |
Si III    |                           |                 222.027   |       | 4.29e+06  | E    |   209559.33     -    254584.8      | 3s.4f                 | 3F*     | 3   | 3s.8g                     | 3G         | 4   |   7 - 9   |    |           T6298c4,LS |         |
Si III    |                           |                 222.027   |       | 3.68e+05  | E    |   209559.33     -    254584.8      | 3s.4f                 | 3F*     | 3   | 3s.8g                     | 3G         | 3   |   7 - 7   |    |           T6298c4,LS |         |
          |                           |                           |       |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |         |
Si III    |                           |                 222.2031  |       | 6.50e+07  | C    |   204828.06     -    249817.94     | 3s.4f                 | 1F*     | 3   | 3s.7g                     | 1G         | 4   |   7 - 9   |    |              T6298c4 |         |
Si III    |                           |                 222.2220  |       | 4.57e+06  | D    |   209599.70     -    254585.75     | 3s.4f                 | 3F*     | 4   | 3s.8g                     | 3G         | 5   |   9 - 11  |    |           T6298c4,LS |         |
Si III    |                           |                 222.227   |       | 2.86e+05  | E    |   209599.70     -    254584.8      | 3s.4f                 | 3F*     | 4   | 3s.8g                     | 3G         | 4   |   9 - 9   |    |           T6298c4,LS |         |
Si III    |                           |                 222.227   |       | 5.59e+03  | E    |   209599.70     -    254584.8      | 3s.4f                 | 3F*     | 4   | 3s.8g                     | 3G         | 3   |   9 - 7   |    |           T6298c4,LS |         |
Si II     |                           |                 222.5248  |       | 2.44e+07  | C    |    76665.35     -    121590.19     | 3s.3p2                | 2S      | 1/2 | 3s.3p.(3P*).4s            | 2P*        | 3/2 |   2 - 4   |    |                T6868 |         |
          |                           |                           |       |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |         |
Si XIII   |                           |                 222.63    |       | 3.39e+08  | A    |[19429907]       - [19474811]       | 1s.9s                 | 3S      | 1   | 1s.10p                    | 3P*        | 2   |   3 - 5   |    |           T5231c4,LS |         |
Si XIII   |                           |                 222.91    |       | 3.38e+08  | A    |[19429907]       - [19474754]       | 1s.9s                 | 3S      | 1   | 1s.10p                    | 3P*        | 1   |   3 - 3   |    |           T5231c4,LS |         |
Si XIII   |                           |                 222.99    |       | 3.37e+08  | A    |[19429907]       - [19474739]       | 1s.9s                 | 3S      | 1   | 1s.10p                    | 3P*        | 0   |   3 - 1   |    |           T5231c4,LS |         |
Si II     |                           |                 223.2507  |       | 2.41e+07  | D+   |    76665.35     -    121444.12     | 3s.3p2                | 2S      | 1/2 | 3s.3p.(3P*).4s            | 2P*        | 1/2 |   2 - 2   |    |                T6868 |         |
Si III    |                           |                 224.9199  |       | 8.70e+07  | C    |   214532.17     -    258978.66     | 3s.5p                 | 1P*     | 1   | 3p.4p                     | 1S         | 0   |   3 - 1   |    |              T6298c4 |         |
          |                           |                           |       |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |         |
Si XI     |                           |                 225.21    |       | 1.35e+07  | C+   |  2512380        -   2556770        | 1s2.2p.3p             | 3P      | 2   | 1s2.2p.3d                 | 3P*        | 2   |   5 - 5   |    |           T5633c4,LS |         |
