[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Pb (all spectra): 176 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 95000
Query NIST Bibliographic Databases for
Pb (new window)
Pb Energy Levels
Pb Line Wavelengths and Classification
Pb Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |            Ritz    |   Rel. |    Aki    | Acc. |      Ei           Ek       |     Lower level      |            Upper level            |  gi   gk  |Type|    TP  |   Line  |
          |            Wavelength |         Wavelength |   Int. |    s^-1   |      |    (cm-1)       (cm-1)     |----------------------|-----------------------------------|           |    |   Ref. |   Ref.  |
          |             Air (nm)  |          Air (nm)  |   (?)  |           |      |                            | Conf.   | Term | J   | Conf.                | Term | J   |           |    |        |         |
Pb II     |             424.214   |                    |     9c |           |      |                            |         |      |     |                      |      |     |           |    |        |  L2579  |
Pb II     |             424.492   |          424.492+  |    20c |           |      | 68964.310   -   92515.24   | 6s2.6d  | 2D   | 5/2 | 6s2.5f               | 2F*  | 7/2 |   6 - 8   |    |        |  L2579  |
Pb III    |             427.266   |                    |      8 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L7300  |
Pb II     |             429.382   |                    |      7 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L2579  |
Pb II     |             429.665   |                    |      6 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L2579  |
          |                       |                    |        |           |      |                            |         |      |     |                      |      |     |           |    |        |         |
Pb I      |             434.0413  |                    |    200 |           |      |                            |         |      |     |                      |      |     |           |    |        |    L50  |
Pb II     |             435.274   |                    |     10 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L2579  |
Pb II     |             438.646   |          438.645+  |    20c |           |      | 69739.603   -   92530.66   | 6s2.6d  | 2D   | 3/2 | 6s2.5f               | 2F*  | 5/2 |   4 - 6   |    |        |  L2579  |
Pb IV     |             449.615   |                    |     10 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L1202  |
Pb III    |             449.934   |                    |      6 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L7300  |
