[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
S (all spectra): 1850 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 120
Query NIST Bibliographic Databases for
S (new window)
S Energy Levels
S Line Wavelengths and Classification
S Transition Probabilities
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |                   Ritz    |   Rel. |    Aki    | Acc. |          Ei           Ek          |           Lower level           |            Upper level            |  gi   gk  |Type|         TP  |               Line  |
          |                Wavelength |                Wavelength |   Int. |    s^-1   |      |        (cm-1)       (cm-1)        |---------------------------------|-----------------------------------|           |    |        Ref. |               Ref.  |
          |                 Air (nm)  |                 Air (nm)  |   (?)  |           |      |                                   | Conf.            | Term  | J    | Conf.              | Term  | J    |           |    |             |                     |
S V       |                           |                206.36+    |        | 1.61e+08  | B    |   349161.1      -    397605.2     | 3s.4p            | 3P*   | 1    | 3s.4d              | 1D    | 2    |   3 - 5   |    |    T7942c84 |                     |
          |                           |                           |        |           |      |                                   |                  |       |      |                    |       |      |           |    |             |                     |
S VI      |                206.828    |                206.828    |   40w* |           |      |   552115.0      -    600448.9     | 2p6.5g           | 2G    | 7/2  | 2p6.6h             | 2H*   | 9/2  |   8 - 10  |    |             |              L4882  |
S VI      |                206.828    |                206.828    |   40w* |           |      |   552115.0      -    600448.9     | 2p6.5g           | 2G    | 9/2  | 2p6.6h             | 2H*   | 9/2  |  10 - 10  |    |             |              L4882  |
S VI      |                206.828    |                206.828    |   40w* |           |      |   552115.0      -    600448.9     | 2p6.5g           | 2G    | 9/2  | 2p6.6h             | 2H*   | 11/2 |  10 - 12  |    |             |              L4882  |
S III     |                207.2030   |                207.2026   |     10 | 2.48e+07  | B    |   122404.0      -    170650.55    | 3s2.3p.3d        | 3F*   | 3    | 3s2.3p.4p          | 3D    | 3    |   7 - 7   |    |    T7942c84 |             L11011  |
S II      |                207.3184   |                207.3188   |      1 |           |      |    79756.83     -    127976.34    | 3s.3p4           | 4P    | 3/2  | 3s2.3p2.(3P).4p    | 4D*   | 3/2  |   4 - 4   |    |             |              L5883  |
          |                           |                           |        |           |      |                                   |                  |       |      |                    |       |      |           |    |             |                     |
S V       |                           |                207.41+    |        | 3.49e+03  | D    |   347841.1      -    396039.5     | 3p.3d            | 3D*   | 1    | 3s.4d              | 3D    | 2    |   3 - 5   |    |    T7942c84 |                     |
S V       |                           |                207.47+    |        | 1.80e+05  | C    |   347841.1      -    396025.5     | 3p.3d            | 3D*   | 1    | 3s.4d              | 3D    | 1    |   3 - 3   |    |    T7942c84 |                     |
S V       |                           |                207.72+    |        | 2.38e+03  | E'   |   349478.3      -    397605.2     | 3s.4p            | 3P*   | 2    | 3s.4d              | 1D    | 2    |   5 - 5   |    |    T7942c84 |                     |
S VI      |                207.9      |                207.945    |      * |           |      |   552115.0      -    600189.4     | 2p6.5g           | 2G    | 7/2  | 2p6.6f             | 2F*   | 5/2  |   8 - 6   |    |             |              L4293  |
S VI      |                207.9      |                207.945    |      * |           |      |   552115.0      -    600189.4     | 2p6.5g           | 2G    | 7/2  | 2p6.6f             | 2F*   | 7/2  |   8 - 8   |    |             |              L4293  |
          |                           |                           |        |           |      |                                   |                  |       |      |                    |       |      |           |    |             |                     |
S VI      |                207.9      |                207.945    |      * |           |      |   552115.0      -    600189.4     | 2p6.5g           | 2G    | 9/2  | 2p6.6f             | 2F*   | 7/2  |  10 - 8   |    |             |              L4293  |
S V       |                207.9575   |                207.9602   |     12 | 6.48e+08  | B+   |   349534.4      -    397605.2     | 3s.4p            | 1P*   | 1    | 3s.4d              | 1D    | 2    |   3 - 5   |    |    T7942c84 |              L5337  |
S V       |                           |                208.05+    |        | 1.21e+05  | C    |   348010.2      -    396060.6     | 3p.3d            | 3D*   | 2    | 3s.4d              | 3D    | 3    |   5 - 7   |    |    T7942c84 |                     |
S V       |                           |                208.14+    |        | 2.68e+05  | C    |   348010.2      -    396039.5     | 3p.3d            | 3D*   | 2    | 3s.4d              | 3D    | 2    |   5 - 5   |    |    T7942c84 |                     |
S V       |                           |                208.20+    |        | 3.24e+04  | D+   |   348010.2      -    396025.5     | 3p.3d            | 3D*   | 2    | 3s.4d              | 3D    | 1    |   5 - 3   |    |    T7942c84 |                     |
          |                           |                           |        |           |      |                                   |                  |       |      |                    |       |      |           |    |             |                     |
S V       |                208.2668   |                208.2666   |      2 | 4.26e+08  | D    |   424526.0      -    472526.1     | 3p.4s            | 1P*   | 1    | 3p.4p              | 1S    | 0    |   3 - 1   |    |     T6298c4 |              L5337  |
S III     |                208.4833   |                208.4832   |     11 | 3.42e+07  | B    |   122118.5      -    170068.73    | 3s2.3p.3d        | 3F*   | 2    | 3s2.3p.4p          | 3D    | 2    |   5 - 5   |    |    T7942c84 |             L11011  |
S V       |                           |                208.58+    |        | 1.03e+05  | C    |   348131.5      -    396060.6     | 3p.3d            | 3D*   | 3    | 3s.4d              | 3D    | 3    |   7 - 7   |    |    T7942c84 |                     |
S V       |                           |                208.67+    |        | 3.46e+03  | D    |   348131.5      -    396039.5     | 3p.3d            | 3D*   | 3    | 3s.4d              | 3D    | 2    |   7 - 5   |    |    T7942c84 |                     |
S III     |                208.9115   |                208.9115   |     19 | 2.87e+08  | B+   |   122798.6      -    170650.55    | 3s2.3p.3d        | 3F*   | 4    | 3s2.3p.4p          | 3D    | 3    |   9 - 7   |    |    T7942c84 |             L11011  |
          |                           |                           |        |           |      |                                   |                  |       |      |                    |       |      |           |    |             |                     |
S IV      |                           |                208.95+    |        | 5.68e+07  | D    |   285122.2      -    332965.6     | 3s2.5p           | 2P*   | 1/2  | 3s2.7s             | 2S    | 1/2  |   2 - 2   |    |  T6527c4,LS |                     |
S IV      |                           |                209.01+    |        | 3.38e-03  | D    |   133619.6      -    181448.2     | 3s.3p2           | 2P    | 1/2  | 3s2.4s             | 2S    | 1/2  |   2 - 2   | M1 |         u29 |                     |
S II      |                209.2701   |                209.2699   |      1 |           |      |   110268.60     -    158038.60    | 3s2.3p2.(3P).4s  | 4P    | 5/2  | 3s2.3p2.(3P).5p    | 4P*   | 5/2  |   6 - 6   |    |             |              L5883  |
S II      |                           |                209.432+   |        | 8.49e-03  | D    |    79395.39     -    127128.35    | 3s.3p4           | 4P    | 5/2  | 3s2.3p2.(1D).3d    | 2G    | 9/2  |   6 - 10  | E2 |    T3186c85 |                     |
S IV      |                           |                209.71+    |        | 1.12e+08  | D+   |   285296.0      -    332965.6     | 3s2.5p           | 2P*   | 3/2  | 3s2.7s             | 2S    | 1/2  |   4 - 2   |    |  T6527c4,LS |                     |
          |                           |                           |        |           |      |                                   |                  |       |      |                    |       |      |           |    |             |                     |
S III     |                209.7318   |                209.7321   |     19 | 2.75e+08  | B+   |   122404.0      -    170068.73    | 3s2.3p.3d        | 3F*   | 3    | 3s2.3p.4p          | 3D    | 2    |   7 - 5   |    |    T7942c84 |             L11011  |
S III     |                209.7826   |                209.7841   | 14bl,w | 3.05e+08  | B+   |   122118.5      -    169771.43    | 3s2.3p.3d        | 3F*   | 2    | 3s2.3p.4p          | 3D    | 1    |   5 - 3   |    |    T7942c84 |             L11011  |
S IX      |                           |                209.82     |        | 6.58e-04  | B+   |    10648        -     58293.9     | 2s2.2p4          | 3P    | 0    | 2s2.2p4            | 1D    | 2    |   1 - 5   | E2 |       T6781 |                     |
S IV      |                209.9363   |                209.9362   |      1 |           |      |   271020.9      -    318639.2     | 3s2.5s           | 2S    | 1/2  | 3s2.6p             | 2P*   | 3/2  |   2 - 4   |    |             |                u24  |
S IV      |                210.0682   |                210.0686   |      1 |           |      |   271020.9      -    318609.3     | 3s2.5s           | 2S    | 1/2  | 3s2.6p             | 2P*   | 1/2  |   2 - 2   |    |             |                u24  |
