[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
V (all spectra): 1310 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 12000
Query NIST Bibliographic Databases for
V (new window)
V Energy Levels
V Line Wavelengths and Classification
V Transition Probabilities
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |                  Ritz    |  Rel. |    Aki    | Acc. |          Ei           Ek          |             Lower level             |              Upper level               |  gi   gk  |Type|         TP  |          Line  |
          |               Wavelength |               Wavelength |  Int. |    s^-1   |      |        (cm-1)       (cm-1)        |-------------------------------------|----------------------------------------|           |    |        Ref. |          Ref.  |
          |                Air (nm)  |                Air (nm)  |  (?)  |           |      |                                   | Conf.                | Term  | J    | Conf.                  | Term   | J    |           |    |             |                |
V IV      |                232.2259  |                232.22+   |     5 |           |      |   263822.4      -    306871.0     | 3p6.3d.4f            | 3G*   | 4    | 3p6.3d.(2D<5/2>).5g    | 2[9/2] | 5    |   9 - 11  |    |             |        L11926  |
V III     |                232.382   |                232.3857  |   500 | 3.8e+08   | D    |    56922.50     -     99941.20    | 3d2.(3P).4s          | b 4P  | 5/2  | 3d2.(3P).4p            | y 4D*  | 7/2  |   6 - 8   |    |      T3396n |         L4746  |
V III     |                          |                232.5110  |       | 5.0e+07   | D    |    43942.49     -     86938.01    | 3d2.(3F).4s          | b 4F  | 3/2  | 3d2.(3F).4p            | z 4F*  | 5/2  |   4 - 6   |    |      T3396n |                |
          |                          |                          |       |           |      |                                   |                      |       |      |                        |        |      |           |    |             |                |
V IV      |                232.6291  |                232.63+   |     3 |           |      |   263902.3      -    306876.3     | 3p6.3d.4f            | 3G*   | 3    | 3p6.3d.(2D<5/2>).5g    | 2[9/2] | 4    |   7 - 9   |    |             |        L11926  |
V V       |                232.6749  |                232.674+  |     6 |           |      |   294047.24     -    337012.59    | 3p6.4d               | 2D    | 5/2  | 3p5.(2P*).3d2.(1D)     | 2F*    | 5/2  |   6 - 6   |    |             |        L11926  |
V III     |                233.042   |                233.0423  |  2500 | 3.2e+08   | D    |    44646.96     -     87544.46    | 3d2.(3F).4s          | b 4F  | 9/2  | 3d2.(3F).4p            | z 4F*  | 9/2  |  10 - 10  |    |      T3396n |         L4746  |
V III     |                233.175   |                233.1750  |   500 | 2.5e+08   | D    |    44345.82     -     87218.92    | 3d2.(3F).4s          | b 4F  | 7/2  | 3d2.(3F).4p            | z 4F*  | 7/2  |   8 - 8   |    |      T3396n |         L4746  |
V III     |                233.420   |                233.4207  |   400 | 2.2e+08   | D    |    44110.04     -     86938.01    | 3d2.(3F).4s          | b 4F  | 5/2  | 3d2.(3F).4p            | z 4F*  | 5/2  |   6 - 6   |    |      T3396n |         L4746  |
          |                          |                          |       |           |      |                                   |                      |       |      |                        |        |      |           |    |             |                |
V III     |                          |                233.7133  |       | 2.7e+08   | D    |    43942.49     -     86716.84    | 3d2.(3F).4s          | b 4F  | 3/2  | 3d2.(3F).4p            | z 4F*  | 3/2  |   4 - 4   |    |      T3396n |                |
V IV      |                233.8032  |                233.80+   |    10 |           |      |   264113.1      -    306871.0     | 3p6.3d.4f            | 3F*   | 4    | 3p6.3d.(2D<5/2>).5g    | 2[9/2] | 5    |   9 - 11  |    |             |        L11926  |
V IV      |                233.9548  |                233.96+   |    20 |           |      |   263593.0      -    306323.1     | 3p6.3d.4f            | 3F*   | 2    | 3p6.3d.(2D<3/2>).5g    | 2[7/2] | 3    |   5 - 7   |    |             |        L11926  |
V IV      |                234.0140  |                234.01+   |    10 |           |      |   263608.3      -    306327.7     | 3p6.3d.4f            | 3F*   | 3    | 3p6.3d.(2D<3/2>).5g    | 2[7/2] | 4    |   7 - 9   |    |             |        L11926  |
V IV      |                234.0704  |                234.07+   |     5 |           |      |   264161.8      -    306871.0     | 3p6.3d.4f            | 3G*   | 5    | 3p6.3d.(2D<5/2>).5g    | 2[9/2] | 5    |  11 - 11  |    |             |        L11926  |
          |                          |                          |       |           |      |                                   |                      |       |      |                        |        |      |           |    |             |                |
