[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Cu (all spectra): 1023 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 10000
Query NIST Bibliographic Databases for
Cu (new window)
Cu Energy Levels
Cu Line Wavelengths and Classification
Cu Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |                    Ritz    |     Rel. |    Aki    | Acc. |          Ei           Ek           |            Lower level            |              Upper level              |  gi   gk  |Type|    TP  |      Line  |
          |                Wavelength |                 Wavelength |     Int. |    s^-1   |      |        (cm-1)       (cm-1)         |-----------------------------------|---------------------------------------|           |    |   Ref. |      Ref.  |
          |                 Air (nm)  |                  Air (nm)  |     (?)  |           |      |                                    | Conf.                | Term | J   | Conf.                | Term | J       |           |    |        |            |
Cu II     |                221.0268   |                            |      750 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
          |                           |                            |          |           |      |                                    |                      |      |     |                      |      |         |           |    |        |            |
Cu I      |                221.4581   |                 221.45910  |    1600r |           |      |    11202.618    -     56343.62     | 3d9.4s2              | 2D   | 5/2 | 3d9.(2D).4s.4p.(1P*) | 2P*  | 3/2     |   6 - 4   |    |        |      L772  |
Cu II     |                221.5106   |                            |      250 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
Cu I      |                221.5654   |                 221.5660   |    1000r |           |      |    13245.443    -     58364.66     | 3d9.4s2              | 2D   | 3/2 | 3d9.(2D).4s.4p.(1P*) | 2P*  | 1/2     |   4 - 2   |    |        |      L772  |
Cu II     |                221.8108   |                            |      750 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
Cu I      |                222.5697   |                 222.57017  |    2100r | 4.4e+07   | C+   |        0.000    -     44915.68     | 3d10.4s              | 2S   | 1/2 | 3d9.(2D).4s.4p.(3P*) | 4D*  | 1/2     |   2 - 2   |    |  T7574 |      L772  |
          |                           |                            |          |           |      |                                    |                      |      |     |                      |      |         |           |    |        |            |
Cu II     |                222.6780   |                            |      150 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
Cu I      |                222.7775   |                 222.7773   |    1600r |           |      |    13245.443    -     58119.37     | 3d9.4s2              | 2D   | 3/2 | 3d9.(2D).4s.4p.(1P*) | 2F*  | 5/2     |   4 - 6   |    |        |      L772  |
Cu II     |                222.8868   |                            |      350 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
Cu I      |                223.0084   |                 223.0092   |    2500r |           |      |    11202.618    -     56029.89     | 3d9.4s2              | 2D   | 5/2 | 3d9.(2D).4s.4p.(1P*) | 2F*  | 7/2     |   6 - 8   |    |        |      L772  |
Cu I      |                223.6278   |                 223.62855  |     900r |           |      |    13245.443    -     57948.568    | 3d9.4s2              | 2D   | 3/2 | 3d10.7p              | 2P*  | 3/2     |   4 - 4   |    |        |      L772  |
          |                           |                            |          |           |      |                                    |                      |      |     |                      |      |         |           |    |        |            |
Cu I      |                223.8454   |                 223.84615  |    1100r |           |      |    13245.443    -     57905.117    | 3d9.4s2              | 2D   | 3/2 | 3d10.5f              | 2F*  | 5/2     |   4 - 6   |    |        |      L772  |
