[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
P (all spectra): 266 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 950
Query NIST Bibliographic Databases for
P (new window)
P Energy Levels
P Line Wavelengths and Classification
P Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |                Ritz    |  Rel. |    Aki    | Acc. |        Ei           Ek        |         Lower level          |         Upper level          |  gi   gk  |Type|            TP  |   Line  |
          |             Wavelength |             Wavelength |  Int. |    s^-1   |      |      (cm-1)       (cm-1)      |------------------------------|------------------------------|           |    |           Ref. |   Ref.  |
          |              Air (nm)  |              Air (nm)  |  (?)  |           |      |                               | Conf.           | Term | J   | Conf.           | Term | J   |           |    |                |         |
P III     |              268.0133  |                        |   200 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4134  |
P IV      |                        |              268.2154  |       | 7.8e-02   | C    |   67918.03    -   105190.42   | 3s.3p           | 3P*  | 0   | 3s.3p           | 1P*  | 1   |   1 - 3   | M1 |           T335 |         |
P I       |                        |              268.6167  |       | 3.9e+04   | E    |   18722.71    -    55939.421  | 3s2.3p3         | 2P*  | 1/2 | 3s2.3p2.(3P).4s | 4P   | 1/2 |   2 - 2   |    |          T1220 |         |
P I       |                        |              268.7995  |       | 4.1e+04   | E    |   18748.01    -    55939.421  | 3s2.3p3         | 2P*  | 3/2 | 3s2.3p2.(3P).4s | 4P   | 1/2 |   4 - 2   |    |          T1220 |         |
P IV      |                        |              269.8696  |       | 6.3e+00   | C    |   68146.48    -   105190.42   | 3s.3p           | 3P*  | 1   | 3s.3p           | 1P*  | 1   |   3 - 3   | M1 |           T335 |         |
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
P IV      |              272.4764  |                        |   300 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4144  |
P IV      |              272.8770  |                        |   400 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4144  |
P IV      |              272.9120  |                        |   200 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4144  |
P IV      |                        |              273.3280  |       | 9.2e-02   | C    |   68615.17    -   105190.42   | 3s.3p           | 3P*  | 2   | 3s.3p           | 1P*  | 1   |   5 - 3   | M1 |           T335 |         |
P IV      |              273.9309  |                        |   500 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4144  |
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
P IV      |              273.9872  |                        |   250 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4144  |
P IV      |              274.0223  |                        |   200 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4144  |
P III     |              289.5241  |                        |   250 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4134  |
P V       |              296.100   |                        |   300 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L2613  |
P IV      |              296.1242  |                        |   200 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4144  |
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
P V       |              297.855   |                        |   450 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L2613  |
P V       |              317.509   |              317.5095  |   700 | 2.34e+08  | C    |  272959.27    -   304445.28   | 2p6.4s          | 2S   | 1/2 | 2p6.4p          | 2P*  | 3/2 |   2 - 4   |    | T1619interp,LS |  L2613  |
P III     |              318.6186  |                        |   250 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4134  |
P V       |              320.404   |              320.4038  |   520 | 2.28e+08  | C    |  272959.27    -   304160.87   | 2p6.4s          | 2S   | 1/2 | 2p6.4p          | 2P*  | 1/2 |   2 - 2   |    | T1619interp,LS |  L2613  |
P III     |              321.9307  |              321.9311  |   300 | 3.9e+08   | D    |  141376.91    -   172430.49   | 3s2.4p          | 2P*  | 1/2 | 3s2.4d          | 2D   | 3/2 |   2 - 4   |    |     T1619CA,LS |  L4134  |
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
P III     |              323.3536  |              323.3548  |   150 | 7.7e+07   | D    |  141513.63    -   172430.49   | 3s2.4p          | 2P*  | 3/2 | 3s2.4d          | 2D   | 3/2 |   4 - 4   |    |     T1619CA,LS |  L4134  |
P III     |              323.3602  |              323.3619  |   400 | 4.6e+08   | D    |  141513.63    -   172429.81   | 3s2.4p          | 2P*  | 3/2 | 3s2.4d          | 2D   | 5/2 |   4 - 6   |    |     T1619CA,LS |  L4134  |
P II      |              330.892   |                        |   150 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L3986  |
P IV      |              334.7736  |              334.7739  |   650 | 2.13e+08  | C+   |  226898.14    -   256760.46   | 3s.4s           | 3S   | 1   | 3s.4p           | 3P*  | 2   |   3 - 5   |    |        T1261LS |  L4144  |
P IV      |              336.4467  |              336.4470  |   570 | 2.09e+08  | C+   |  226898.14    -   256611.97   | 3s.4s           | 3S   | 1   | 3s.4p           | 3P*  | 1   |   3 - 3   |    |        T1261LS |  L4144  |
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
P IV      |              337.1122  |              337.1119  |   400 | 2.1e+08   | D    |  226898.14    -   256553.36   | 3s.4s           | 3S   | 1   | 3s.4p           | 3P*  | 0   |   3 - 1   |    |        T1261LS |  L4144  |
P IV      |              341.3543  |                        |   200 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4144  |
P II      |              341.934   |                        |   125 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L3986  |
P II      |              342.500   |                        |   100 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L3986  |
P III     |              355.6546  |                        |   200 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4134  |
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
P III     |              357.7526  |                        |   200 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4134  |
P IV      |              373.3393  |                        |   200 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4144  |
P III     |                        |              374.4236  |       | 6.8e+07   | D    |  184639.75    -   211339.88   | 3s.3p.(3P*).4s  | 4P*  | 3/2 | 3s.3p.(3P*).4p  | 4S   | 3/2 |   4 - 4   |    |     T1619CA,LS |         |
P III     |                        |              380.2032  |       | 9.7e+07   | D    |  185045.62    -   211339.88   | 3s.3p.(3P*).4s  | 4P*  | 5/2 | 3s.3p.(3P*).4p  | 4S   | 3/2 |   6 - 4   |    |     T1619CA,LS |         |
P III     |                        |              389.5056  |       | 5.4e+07   | D    |  184639.75    -   210306.05   | 3s.3p.(3P*).4s  | 4P*  | 3/2 | 3s.3p.(3P*).4p  | 4P   | 5/2 |   4 - 6   |    |     T1619CA,LS |         |
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
P III     |              390.4812  |              390.4811  |   200 | 7.5e+07   | D    |  184453.79    -   210055.97   | 3s.3p.(3P*).4s  | 4P*  | 1/2 | 3s.3p.(3P*).4p  | 4P   | 3/2 |   2 - 4   |    |     T1619CA,LS |  L4134  |
P III     |              391.4314  |                        |   250 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4134  |
P III     |                        |              392.2703  |       | 3.0e+07   | E    |  184453.79    -   209939.20   | 3s.3p.(3P*).4s  | 4P*  | 1/2 | 3s.3p.(3P*).4p  | 4P   | 1/2 |   2 - 2   |    |     T1619CA,LS |         |
P III     |                        |              393.3382  |       | 2.3e+07   | E    |  184639.75    -   210055.97   | 3s.3p.(3P*).4s  | 4P*  | 3/2 | 3s.3p.(3P*).4p  | 4P   | 3/2 |   4 - 4   |    |     T1619CA,LS |         |
P III     |                        |              395.1537  |       | 1.4e+08   | D    |  184639.75    -   209939.20   | 3s.3p.(3P*).4s  | 4P*  | 3/2 | 3s.3p.(3P*).4p  | 4P   | 1/2 |   4 - 2   |    |     T1619CA,LS |         |
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
P III     |              395.7641  |              395.7641  |   300 | 1.2e+08   | D    |  185045.62    -   210306.05   | 3s.3p.(3P*).4s  | 4P*  | 5/2 | 3s.3p.(3P*).4p  | 4P   | 5/2 |   6 - 6   |    |     T1619CA,LS |  L4134  |
P III     |              397.8307  |                        |   350 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4134  |
P III     |                        |              399.7214  |       | 7.6e+07   | D    |  185045.62    -   210055.97   | 3s.3p.(3P*).4s  | 4P*  | 5/2 | 3s.3p.(3P*).4p  | 4P   | 3/2 |   6 - 4   |    |     T1619CA,LS |         |
P III     |              405.7440  |              405.7449  |   200 | 1.0e+07   | D    |  116874.56    -   141513.63   | 3s2.3d          | 2D   | 3/2 | 3s2.4p          | 2P*  | 3/2 |   4 - 4   |    |     T1619CA,LS |  L4134  |
P III     |              405.9312  |              405.9312  |   400 | 9.0e+07   | D    |  116885.87    -   141513.63   | 3s2.3d          | 2D   | 5/2 | 3s2.4p          | 2P*  | 3/2 |   6 - 4   |    |     T1619CA,LS |  L4134  |
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
P III     |              408.0084  |              408.0089  |   300 | 9.9e+07   | D    |  116874.56    -   141376.91   | 3s2.3d          | 2D   | 3/2 | 3s2.4p          | 2P*  | 1/2 |   4 - 2   |    |     T1619CA,LS |  L4134  |
P V       |              408.318   |                        |   150 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L2613  |
P XIII    |                        |              408.7     |       | 7.05e+06  | B    | 2846080       -  2870540      | 1s2.3p          | 2P*  | 1/2 | 1s2.3d          | 2D   | 3/2 |   2 - 4   |    |     T1619CA,LS |         |
P V       |              409.495   |                        |   110 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L2613  |
P II      |              417.848   |                        |   100 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L3986  |
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
P III     |              422.2195  |              422.2198  |   500 | 1.5e+08   | D    |  117835.95    -   141513.63   | 3s2.4s          | 2S   | 1/2 | 3s2.4p          | 2P*  | 3/2 |   2 - 4   |    |     T1619CA,LS |  L4134  |
P III     |              424.6720  |              424.6720  |   350 | 1.4e+08   | D    |  117835.95    -   141376.91   | 3s2.4s          | 2S   | 1/2 | 3s2.4p          | 2P*  | 1/2 |   2 - 2   |    |     T1619CA,LS |  L4134  |
P IV      |              424.9656  |              424.9655  |   300 | 8.4e+07   | C    |  233997.96    -   257522.66   | 3s.4s           | 1S   | 0   | 3s.4p           | 1P*  | 1   |   1 - 3   |    |          T1261 |  L4144  |
P II      |              428.860   |                        |   200 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L3986  |
P II      |              438.535   |              438.5393  |   200 | 4.0e+07   | D    |  101635.69    -   124432.26   | 3s2.3p.4p       | 1P   | 1   | 3s2.3p.5s       | 1P*  | 1   |   3 - 3   |    |        T1619CA |  L3986  |
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
