[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Ti (all spectra): 4528 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 21000
Query NIST Bibliographic Databases for
Ti (new window)
Ti Energy Levels
Ti Line Wavelengths and Classification
Ti Transition Probabilities
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                    Observed  |                      Ritz    |   Rel. |    Aki    | Acc. |            Ei           Ek            |                Lower level                |                Upper level                |  gi   gk  |   Type|          TP  |           Line  |
          |                   Wavelength |                   Wavelength |   Int. |    s^-1   |      |          (cm-1)       (cm-1)          |-------------------------------------------|-------------------------------------------|           |       |         Ref. |           Ref.  |
          |                    Air (nm)  |                    Air (nm)  |   (?)  |           |      |                                       | Conf.                 | Term       | J    | Conf.                 | Term       | J    |           |       |              |                 |
Ti II     |                  205.264881  |                  205.264897  |     24 |           |      |    34543.3799     -     83245.315     | 3d2.(3F).4p           | z 2G*      | 7/2  | 3d2.(3F).6s           | 2F         | 5/2  |   8 - 6   |       |              |            u37  |
          |                              |                              |        |           |      |                                       |                       |            |      |                       |            |      |           |       |              |                 |
Ti II     |                  205.412893  |                  205.412889  |     89 |           |      |    24961.1910     -     73628.043     | 3d.4s2                | c 2D       | 3/2  | 3d.(2D).4s.4p.(1P*)   | 2P*        | 1/2  |   4 - 2   |       |              |            u37  |
Ti II     |                  205.453333  |                  205.453336  |     36 |           |      |     4897.7179     -     53554.9903    | 3d2.(3F).4s           | a 2F       | 7/2  | 3d.(2D).4s.4p.(3P*)   | w 2D*      | 5/2  |   8 - 6   |       |              |            u37  |
Ti II     |                  205.662442  |                  205.662448  |    235 |           |      |    25192.9650     -     73800.7705    | 3d.4s2                | c 2D       | 5/2  | 3d2.(3F).5p           | 2F*        | 7/2  |   6 - 8   |       |              |            u37  |
Ti I      |                  205.67711   |                  205.67746   |      0 |           |      |      170.1328     -     48774.39      | 3d2.4s2               | a 3F       | 3    | 3d2.4s.(2F).5p        | 3F*        | 4    |   7 - 9   |       |              |         L10989  |
Ti II     |                  205.857696  |                  205.857697  |    182 |           |      |    24961.1910     -     73522.8997    | 3d.4s2                | c 2D       | 3/2  | 3d2.(3F).5p           | 2F*        | 5/2  |   4 - 6   |       |              |            u37  |
          |                              |                              |        |           |      |                                       |                       |            |      |                       |            |      |           |       |              |                 |
Ti I      |                  205.93997   |                  205.93997   |      4 |           |      |        0.000      -     48542.31      | 3d2.4s2               | a 3F       | 2    | 3d2.4s.(2F).5p        | 3G*        | 3    |   5 - 7   |       |              |         L10989  |
Ti II     |                  206.055     |                  206.055245  |     0: |           |      |    34543.3799     -     83058.538     | 3d2.(3F).4p           | z 2G*      | 7/2  | 3d2.(3F).6s           | 4F         | 7/2  |   8 - 8   |       |              |          L5432  |
Ti I      |                  206.05923   |                  206.05928   |      5 |           |      |      170.1328     -     48684.340     | 3d2.4s2               | a 3F       | 3    | 3d2.4s.(2F).5p        | 3G*        | 4    |   7 - 9   |       |              |         L10989  |
Ti II     |                  206.083     |                  206.082497  |     0: |           |      |    34748.5062     -     83257.2496    | 3d2.(3F).4p           | z 2G*      | 9/2  | 3d2.(3F).6s           | 4F         | 9/2  |  10 - 10  |       |              |          L5432  |
Ti I      |                  206.17054   |                  206.17073   |      6 |           |      |      386.874      -     48874.86      | 3d2.4s2               | a 3F       | 4    | 3d2.4s.(2F).5p        | 3G*        | 5    |   9 - 11  |       |              |         L10989  |
          |                              |                              |        |           |      |                                       |                       |            |      |                       |            |      |           |       |              |                 |
Ti I      |                  206.28734   |                  206.28730   |      4 |           |      |        0.000      -     48460.59      | 3d2.4s2               | a 3F       | 2    | 3d2.4s.(2F).5p        | 3F*        | 2    |   5 - 5   |       |              |         L10989  |
Ti I      |                  206.29143   |                  206.29178   |      4 |           |      |      170.1328     -     48629.67      | 3d2.4s2               | a 3F       | 3    | 3d2.4s.(2F).5p        | 3F*        | 3    |   7 - 7   |       |              |         L10989  |
Ti I      |                  206.59877   |                  206.59887   |      7 |           |      |      386.874      -     48774.39      | 3d2.4s2               | a 3F       | 4    | 3d2.4s.(2F).5p        | 3F*        | 4    |   9 - 9   |       |              |         L10989  |
