[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Mg (all spectra): 1067 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 50
Query NIST Bibliographic Databases for
Mg (new window)
Mg Energy Levels
Mg Line Wavelengths and Classification
Mg Transition Probabilities
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                  Observed  |                    Ritz    |  Rel. |    Aki    | Acc. |           Ei           Ek           |              Lower level               |               Upper level               |  gi   gk  |Type|                       TP  |    Line  |
          |                 Wavelength |                 Wavelength |  Int. |    s^-1   |      |         (cm-1)       (cm-1)         |----------------------------------------|-----------------------------------------|           |    |                      Ref. |    Ref.  |
          |                  Air (nm)  |                  Air (nm)  |  (?)  |           |      |                                     | Conf.                 | Term    | J    | Conf.                 | Term     | J    |           |    |                           |          |
Mg I      |                            |                 208.4535   |       | 7.24e-12  | E    |        0.000     -     47957.058    | 2p6.3s2               | 1S      | 0    | 3s.3d                 | 3D       | 1    |   1 - 3   | M1 |                       c43 |          |
Mg I      |                            |                 208.4537   |       | 1.06e-03  | C    |        0.000     -     47957.027    | 2p6.3s2               | 1S      | 0    | 3s.3d                 | 3D       | 2    |   1 - 5   | E2 |                       c43 |          |
Mg III    |                 208.5891   |                 208.5886   |    15 | 1.61e+08  | B+   |   431530.0       -    479456.0      | 2s2.2p5.3s            | 1P*     | 1    | 2s2.2p5.3p            | 3P       | 1    |   3 - 3   |    |                       c46 |   L1434  |
Mg VIII   |                            |                 208.70     |       | 8.97e+05  | D+   |  1335860         -   1383760        | 2s2.3d                | 2D      | 3/2  | 2s.2p.(3P*).3s        | 2P*      | 3/2  |   4 - 4   |    |                T7192c4,LS |          |
          |                            |                            |       |           |      |                                     |                       |         |      |                       |          |      |           |    |                           |          |
Mg I      |                            |                 208.9149   |       | 2.69e+00  | B+   |        0.000     -     47851.162    | 2p6.3s2               | 1S      | 0    | 3s.4p                 | 3P*      | 2    |   1 - 5   | M2 |                       c43 |          |
Mg III    |                            |                 209.196    |       | 4.73e-04  | B    |   426868.1       -    474655.0      | 2s2.2p5.3s            | 3P*     | 1    | 2s2.2p5.3p            | 3D       | 2    |   3 - 5   | M2 |                       c46 |          |
Mg III    |                 209.1963   |                 209.1959   |    20 | 2.57e+08  | A    |   426868.1       -    474655.0      | 2s2.2p5.3s            | 3P*     | 1    | 2s2.2p5.3p            | 3D       | 2    |   3 - 5   |    |                       c46 |   L1434  |
Mg III    |                 209.4207   |                 209.4220   |     2 | 1.21e+07  | C+   |   431530.0       -    479265.3      | 2s2.2p5.3s            | 1P*     | 1    | 2s2.2p5.3p            | 3P       | 0    |   3 - 1   |    |                       c46 |   L1434  |
Mg VIII   |                            |                 209.45     |       | 7.98e+06  | C+   |  1336030         -   1383760        | 2s2.3d                | 2D      | 5/2  | 2s.2p.(3P*).3s        | 2P*      | 3/2  |   6 - 4   |    |                T7192c4,LS |          |
          |                            |                            |       |           |      |                                     |                       |         |      |                       |          |      |           |    |                           |          |
Mg III    |                 209.7936   |                 209.7934   |    13 | 1.50e+08  | A    |   427852.1       -    475502.9      | 2s2.2p5.3s            | 3P*     | 0    | 2s2.2p5.3p            | 3D       | 1    |   1 - 3   |    |                       c46 |   L1434  |
Mg III    |                 211.2773   |                 211.2776   |    15 | 1.69e+08  | B+   |   431530.0       -    478846.1      | 2s2.2p5.3s            | 1P*     | 1    | 2s2.2p5.3p            | 3P       | 2    |   3 - 5   |    |                       c46 |   L1434  |
Mg III    |                            |                 211.864    |       | 3.43e-03  | A    |   426868.1       -    474053.2      | 2s2.2p5.3s            | 3P*     | 1    | 2s2.2p5.3p            | 3D       | 3    |   3 - 7   | M2 |                       c46 |          |
Mg III    |                 213.4054   |                 213.4049   |    16 | 2.36e+08  | B    |   431530.0       -    478374.5      | 2s2.2p5.3s            | 1P*     | 1    | 2s2.2p5.3p            | 1P       | 1    |   3 - 3   |    |                       c46 |   L1434  |
Mg III    |                            |                 213.595    |       | 7.72e-04  | B+   |   427852.1       -    474655.0      | 2s2.2p5.3s            | 3P*     | 0    | 2s2.2p5.3p            | 3D       | 2    |   1 - 5   | M2 |                       c46 |          |
          |                            |                            |       |           |      |                                     |                       |         |      |                       |          |      |           |    |                           |          |
Mg I      |                            |                 215.4353   |       | 1.64e+03  | A    |        0.000     -     46403.065    | 2p6.3s2               | 1S      | 0    | 3s.3d                 | 1D       | 2    |   1 - 5   | E2 |                    c43,T1 |          |
Mg VIII   |                            |                 215.64     |       | 1.16e+06  | D+   |  1440610         -   1486970        | 2s.2p.(3P*).3p        | 2D      | 3/2  | 2s.2p.(1P*).3s        | 2P*      | 1/2  |   4 - 2   |    |                T7192c4,LS |          |
Mg VIII   |                            |                 215.64     |       | 1.16e+05  | D    |  1440610         -   1486970        | 2s.2p.(3P*).3p        | 2D      | 3/2  | 2s.2p.(1P*).3s        | 2P*      | 3/2  |   4 - 4   |    |                T7192c4,LS |          |
Mg IX     |                            |                 215.68     |       | 7.39e+07  | C    |  1770380         -   1816730        | 1s2.2p.3p             | 3S      | 1    | 1s2.2p.3d             | 3P*      | 0    |   3 - 1   |    |                T5633c4,LS |          |
Mg III    |                 217.7694   |                 217.7697   |    20 | 2.12e+08  | B+   |   431530.0       -    477435.7      | 2s2.2p5.3s            | 1P*     | 1    | 2s2.2p5.3p            | 1D       | 2    |   3 - 5   |    |                       c46 |   L1434  |
          |                            |                            |       |           |      |                                     |                       |         |      |                       |          |      |           |    |                           |          |
Mg IX     |                            |                 218.13     |       | 7.13e+07  | C+   |  1770380         -   1816210        | 1s2.2p.3p             | 3S      | 1    | 1s2.2p.3d             | 3P*      | 1    |   3 - 3   |    |                T5633c4,LS |          |
Mg II     |                 218.257    |                 218.253    |       |           |      |   437570         -    483373        | 2p5.(2P*).3s.3p.(3P*) | 4P      | 5/2  | 2p5.(2P*).3p2.(3P)    | 4P*      | 5/2  |   6 - 6   |    |                           |  L10581  |
Mg IX     |                            |                 218.8      |       | 4.80e+06  | D+   |  1795870         -   1841560        | 1s2.2p.3p             | 1D      | 2    | 1s2.2p.3d             | 1P*      | 1    |   5 - 3   |    |                   T5633c4 |   L1255  |
Mg VIII   |                            |                 219.28     |       | 7.74e+06  | C    |  1335860         -   1381450        | 2s2.3d                | 2D      | 3/2  | 2s.2p.(3P*).3s        | 2P*      | 1/2  |   4 - 2   |    |                T7192c4,LS |          |
Mg IX     |                            |                 220.54     |       | 5.98e+07  | C+   |  1710140         -   1755470?       | 1s2.2p.3s             | 3P*     | 0    | 1s2.2p.3p             | 3D       | 1    |   1 - 3   |    |                T5633c4,LS |          |
          |                            |                            |       |           |      |                                     |                       |         |      |                       |          |      |           |    |                           |          |
Mg IX     |                            |                 221.07     |       | 7.99e+07  | B    |  1711250         -   1756470?       | 1s2.2p.3s             | 3P*     | 1    | 1s2.2p.3p             | 3D       | 2    |   3 - 5   |    |                T5633c4,LS |          |
Mg II     |                 221.141    |                 221.141    |       |           |      |   438167         -    483373        | 2p5.(2P*).3s.3p.(3P*) | 4P      | 3/2  | 2p5.(2P*).3p2.(3P)    | 4P*      | 5/2  |   4 - 6   |    |                           |  L10581  |
Mg X      |                            |                 221.5      |       | 9.67e+07  | A    |  1682700         -   1727830        | 1s2.3s                | 2S      | 1/2  | 1s2.3p                | 2P*      | 3/2  |   2 - 4   |    |                       c42 |   L4713  |
Mg II     |                            |                 221.6911   |       | 8.95e+04  | C    |    69804.95      -    114898.72     | 2p6.4s                | 2S      | 1/2  | 2p6.9p                | 2P*      | 3/2  |   2 - 4   |    |                       c31 |          |
Mg II     |                            |                 221.7006   |       | 9.63e+04  | C    |    69804.95      -    114896.79     | 2p6.4s                | 2S      | 1/2  | 2p6.9p                | 2P*      | 1/2  |   2 - 2   |    |                       c31 |          |
          |                            |                            |       |           |      |                                     |                       |         |      |                       |          |      |           |    |                           |          |
Mg IX     |                            |                 221.81     |       | 1.05e+08  | B    |  1713900         -   1758970        | 1s2.2p.3s             | 3P*     | 2    | 1s2.2p.3p             | 3D       | 3    |   5 - 7   |    |                T5633c4,LS |          |
Mg II     |                            |                 222.2484   |       | 4.92e-04  | E    |    35669.31      -     80650.02     | 2p6.3p                | 2P*     | 1/2  | 2p6.4p                | 2P*      | 3/2  |   2 - 4   | M1 |                       c28 |          |
Mg II     |                            |                 222.2484   |       | 4.05e+02  | A    |    35669.31      -     80650.02     | 2p6.3p                | 2P*     | 1/2  | 2p6.4p                | 2P*      | 3/2  |   2 - 4   | E2 |                       c28 |          |
Mg II     |                            |                 222.3993   |       | 1.68e-04  | E    |    35669.31      -     80619.50     | 2p6.3p                | 2P*     | 1/2  | 2p6.4p                | 2P*      | 1/2  |   2 - 2   | M1 |                       c28 |          |
Mg II     |                            |                 222.7018   |       | 8.31e-04  | E    |    35760.88      -     80650.02     | 2p6.3p                | 2P*     | 3/2  | 2p6.4p                | 2P*      | 3/2  |   4 - 4   | M1 |                       c28 |          |
          |                            |                            |       |           |      |                                     |                       |         |      |                       |          |      |           |    |                           |          |
Mg II     |                            |                 222.7018   |       | 4.02e+02  | A    |    35760.88      -     80650.02     | 2p6.3p                | 2P*     | 3/2  | 2p6.4p                | 2P*      | 3/2  |   4 - 4   | E2 |                       c28 |          |
Mg II     |                            |                 222.8533   |       | 8.04e+02  | A    |    35760.88      -     80619.50     | 2p6.3p                | 2P*     | 3/2  | 2p6.4p                | 2P*      | 1/2  |   4 - 2   | E2 |                       c28 |          |
Mg II     |                            |                 222.8533   |       | 1.64e-03  | E    |    35760.88      -     80619.50     | 2p6.3p                | 2P*     | 3/2  | 2p6.4p                | 2P*      | 1/2  |   4 - 2   | M1 |                       c28 |          |
Mg IX     |                            |                 222.95     |       | 6.68e+07  | B    |  1770380         -   1815220        | 1s2.2p.3p             | 3S      | 1    | 1s2.2p.3d             | 3P*      | 2    |   3 - 5   |    |                T5633c4,LS |          |
Mg II     |                            |                 225.3869   |       | 7.15e+05  | C+   |    71490.19      -    115844.60     | 2p6.3d                | 2D      | 5/2  | 2p6.9f                | 2F*      | 5/2  |   6 - 6   |    |                       c31 |          |
          |                            |                            |       |           |      |                                     |                       |         |      |                       |          |      |           |    |                           |          |
Mg II     |                            |                 225.3869   |       | 1.07e+07  | B    |    71490.19      -    115844.60     | 2p6.3d                | 2D      | 5/2  | 2p6.9f                | 2F*      | 7/2  |   6 - 8   |    |                       c31 |          |
Mg II     |                            |                 225.3913   |       | 1.00e+07  | B    |    71491.06      -    115844.60     | 2p6.3d                | 2D      | 3/2  | 2p6.9f                | 2F*      | 5/2  |   4 - 6   |    |                       c31 |          |
Mg IX     |                            |                 226.07     |       | 4.15e+07  | C+   |  1711250         -   1755470?       | 1s2.2p.3s             | 3P*     | 1    | 1s2.2p.3p             | 3D       | 1    |   3 - 3   |    |                T5633c4,LS |          |
Mg VII    |                            |                 226.15     |       | 3.95e+00  | B+   |    40948         -     85153        | 2s2.2p2               | 1D      | 2    | 2s2.2p2               | 1S       | 0    |   5 - 1   | E2 |      T7333c10,T6645,T6781 |          |
Mg VIII   |                            |                 226.48     |       | 9.01e+05  | C    |  1442830         -   1486970        | 2s.2p.(3P*).3p        | 2D      | 5/2  | 2s.2p.(1P*).3s        | 2P*      | 3/2  |   6 - 4   |    |                T7192c4,LS |          |
          |                            |                            |       |           |      |                                     |                       |         |      |                       |          |      |           |    |                           |          |
Mg III    |                 227.3414   |                 227.3425   |     2 | 1.27e+06  | C    |   431530.0       -    475502.9      | 2s2.2p5.3s            | 1P*     | 1    | 2s2.2p5.3p            | 3D       | 1    |   3 - 3   |    |                       c46 |   L1434  |
Mg III    |                            |                 227.343    |       | 5.45e-05  | C    |   431530.0       -    475502.9      | 2s2.2p5.3s            | 1P*     | 1    | 2s2.2p5.3p            | 3D       | 1    |   3 - 3   | M2 |                       c46 |          |
Mg IV     |                            |                 227.629    |       | 1.49e+05  | D+   |   553666.1       -    597583.6      | 2s2.2p4.(3P).3s       | 2P      | 3/2  | 2s2.2p4.(3P).3p       | 4P*      | 1/2  |   4 - 2   |    |                       c46 |          |
Mg IV     |                            |                 227.629    |       | 4.80e-04  | B    |   553666.1       -    597583.6      | 2s2.2p4.(3P).3s       | 2P      | 3/2  | 2s2.2p4.(3P).3p       | 4P*      | 1/2  |   4 - 2   | M2 |                       c48 |          |
Mg VI     |                            |                 227.72     |       | 5.12e+05  | D    |  1289600?        -   1333500?       | 2s.2p3.(3D*).3d       | 2F*     | 7/2  | 2s2.2p2.(1S).4d       | 2D       | 5/2  |   8 - 6   |    |                    u22,LS |          |
          |                            |                            |       |           |      |                                     |                       |         |      |                       |          |      |           |    |                           |          |
Mg VIII   |                            |                 227.93     |       | 4.02e+04  | D    |  1504990         -   1548850        | 2s.2p.(3P*).3d        | 2F*     | 5/2  | 2s.2p.(1P*).3p        | 2D       | 5/2  |   6 - 6   |    |                T7192c4,LS |          |
Mg X      |                            |                 228.1      |       | 8.85e+07  | A    |  1682700         -   1726520        | 1s2.3s                | 2S      | 1/2  | 1s2.3p                | 2P*      | 1/2  |   2 - 2   |    |                       c42 |   L4713  |
Mg V      |                            |                 228.91     |       | 1.28e+06  | E    |   898962         -    942634        | 2s2.2p3.(2P*).3d      | 3P*     | 1    | 2s.2p4.(4P).3s        | 3P       | 0    |   3 - 1   |    |                    c57,LS |          |
Mg VIII   |                            |                 229.87     |       | 7.90e+05  | D+   |  1513100?        -   1556590        | 2s.2p.(3P*).3d        | 2P*     | 3/2  | 2s.2p.(1P*).3p        | 2S       | 1/2  |   4 - 2   |    |                T7192c4,LS |          |
Mg VIII   |                            |                 230.13     |       | 7.19e+05  | C    |  1690460?        -   1733900?       | 2p2.(1D).3p           | 2F*     | 5/2  | 2p2.(1D).3d           | 2D       | 5/2  |   6 - 6   |    |                T7192c4,LS |          |
          |                            |                            |       |           |      |                                     |                       |         |      |                       |          |      |           |    |                           |          |
