[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
K (all spectra): 304 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 70
Query NIST Bibliographic Databases for
K (new window)
K Energy Levels
K Line Wavelengths and Classification
K Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                    Observed  |                     Ritz    |  Rel. |    Aki    | Acc. |           Ei           Ek          |            Lower level            |            Upper level            |  gi   gk  |   Type|            TP  |    Line  |
          |                   Wavelength |                  Wavelength |  Int. |    s^-1   |      |         (cm-1)       (cm-1)        |-----------------------------------|-----------------------------------|           |       |           Ref. |    Ref.  |
          |                    Air (nm)  |                   Air (nm)  |  (?)  |           |      |                                    | Conf.             | Term    | J   | Conf.             | Term    | J   |           |       |                |          |
K III     |                 263.511      |                263.511      |     5 | 1.29e+08  |      | 208687.8         -  246625.6       | 3s2.3p4.(3P).4s   | 4P      | 3/2 | 3s2.3p4.(3P).4p   | 4S*     | 3/2 |   4 - 4   |       |          T7942 |   L3491  |
K III     |                 268.990      |                268.996      |     5 | 7.48e+07  |      | 209461.3         -  246625.6       | 3s2.3p4.(3P).4s   | 4P      | 1/2 | 3s2.3p4.(3P).4p   | 4S*     | 3/2 |   2 - 4   |       |          T7942 |   L3491  |
K IV      |                              |                271.109      |       | 1.04e+01  | C    |   1671.7         -   38546.3       | 3s2.3p4           | 3P      | 1   | 3s2.3p4           | 1S      | 0   |   3 - 1   | M1    |           T969 |          |
K III     |                 273.696      |                273.700      |     1 |           |      | 207421.9         -  243947.4       | 3s2.3p4.(3P).4s   | 4P      | 5/2 | 3s2.3p4.(3P).4p   | 2P*     | 3/2 |   6 - 4   |       |                |   L3398  |
          |                              |                             |       |           |      |                                    |                   |         |     |                   |         |     |           |       |                |          |
K II      |                 274.355      |                             |     4 |           |      |                                    |                   |         |     |                   |         |     |           |       |                |   L3490  |
K II      |                 277.789      |                277.7884     |     2 | 2.82e+07  |      | 183204.1         -  219192.1       | 3p5.4p            | 3S      | 1   | 3p5.4d            | 3D*     | 2   |   3 - 5   |       |          T8304 |   L3490  |
K III     |                 280.040      |                280.040      |     3 | 4.97e+06  |      | 207421.9         -  243120.6       | 3s2.3p4.(3P).4s   | 4P      | 5/2 | 3s2.3p4.(3P).4p   | 2D*     | 5/2 |   6 - 6   |       |          T7942 |   L3491  |
K II      |                 280.899      |                             |     3 |           |      |                                    |                   |         |     |                   |         |     |           |       |                |   L3490  |
K III     |                 287.735      |                287.740      |     1 | 4.05e+06  |      | 207421.9         -  242165.3       | 3s2.3p4.(3P).4s   | 4P      | 5/2 | 3s2.3p4.(3P).4p   | 4D*     | 3/2 |   6 - 4   |       |          T7942 |   L3491  |
          |                              |                             |       |           |      |                                    |                   |         |     |                   |         |     |           |       |                |          |
K III     |                 289.890      |                289.887      |     1 |           |      | 209461.3         -  243947.4       | 3s2.3p4.(3P).4s   | 4P      | 1/2 | 3s2.3p4.(3P).4p   | 2P*     | 3/2 |   2 - 4   |       |                |   L3398  |
