[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Al (all spectra): 1038 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 4000
Query NIST Bibliographic Databases for
Al (new window)
Al Energy Levels
Al Line Wavelengths and Classification
Al Transition Probabilities
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                  Observed  |                    Ritz    |   Rel. |    Aki    | Acc. |           Ei           Ek           |              Lower level              |              Upper level               |  gi   gk  |Type|                 TP  |        Line  |
          |                 Wavelength |                 Wavelength |   Int. |    s^-1   |      |         (cm-1)       (cm-1)         |---------------------------------------|----------------------------------------|           |    |                Ref. |        Ref.  |
          |                  Air (nm)  |                  Air (nm)  |   (?)  |           |      |                                     | Conf.                 | Term    | J   | Conf.                 | Term    | J    |           |    |                     |              |
Al I      |                 208.375    |                 208.375    |   g,a* |           |      |        0.000     -     47975.1      | 3s2.3p                | 2P*     | 1/2 | 3s2.19d               | 2D      | 3/2  |   2 - 4   |    |                     |  L130,L7413  |
Al I      |                 208.375    |                 208.376    |   g,a* |           |      |      112.061     -     48087        | 3s2.3p                | 2P*     | 3/2 | 3s2.24d               | 2D      | 5/2  |   4 - 6   |    |                     |  L130,L7413  |
Al I      |                 208.448    |                 208.450    |    g,a |           |      |      112.061     -     48070        | 3s2.3p                | 2P*     | 3/2 | 3s2.23d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
Al I      |                 208.524    |                 208.525    |    g,a |           |      |        0.000     -     47940.7      | 3s2.3p                | 2P*     | 1/2 | 3s2.18d               | 2D      | 3/2  |   2 - 4   |    |                     |  L130,L7413  |
          |                            |                            |        |           |      |                                     |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |                 208.532    |                 208.532    |    g,a |           |      |      112.061     -     48051        | 3s2.3p                | 2P*     | 3/2 | 3s2.22d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
Al I      |                 208.623    |                 208.619    |    g,a |           |      |      112.061     -     48031.1      | 3s2.3p                | 2P*     | 3/2 | 3s2.21d               | 2D      | 5/2  |   4 - 6   |    |                     |  L130,L7413  |
Al II     |                 208.6864   |                 208.6863   |     30 |           |      |    37577.79      -     85481.35     | 3s.3p                 | 3P*     | 2   | 3p2                   | 1D      | 2    |   5 - 5   |    |                     |       L4575  |
Al I      |                 208.736    |                 208.734    |    g,a |           |      |      112.061     -     48004.7      | 3s2.3p                | 2P*     | 3/2 | 3s2.20d               | 2D      | 5/2  |   4 - 6   |    |                     |  L130,L7413  |
Al I      |                 208.866    |                 208.863    |    g,a |           |      |      112.061     -     47975.1      | 3s2.3p                | 2P*     | 3/2 | 3s2.19d               | 2D      | 5/2  |   4 - 6   |    |                     |  L130,L7413  |
